"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"372
Set Design I","001","","12","3.045","25.0","16.7","25.0","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".","."
"379
Stage Management","001","","8","3.500","62.5","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"410
Holocaust Theme-West Drama","001","","16","3.200","25.0","12.5","43.8",".","12.5",".",".",".",".",".",".",".",".",".","6.3","."
"420
Theatre and Society","001","","23","3.295","30.4","13.0","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".","4.3"
"464
PattrnMaking-TheatrCostumes","001","","9","3.533","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"466
Stage Lighting Design II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"532
History of Russian Theatre","001","","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"550
Advanced Scene Study","001","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","43","3.848","76.7","14.0","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"619","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","24","3.806","87.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"700
Prosem: Intro Rsch-Theatre","001","","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Dsgn & Technlgy Core Curric","001","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","10","4.000","50.0",".",".",".",".",".",".","40.0",".",".",".","10.0",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","30","4.000","73.3",".",".",".",".",".",".","16.7",".",".",".","10.0",".",".",".","."
"999
Independent Study","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
