"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"692","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","10","3.969","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","20","3.871","80.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Mechanisms of Enzyme Action","001","","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","001","","39","4.000","30.8",".",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"729","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics","Course Total","","42","3.889","33.3",".","2.4",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"800
Prac Nuc Mag Resonance Thry","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Regul Mechanisms-Plant Dev","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","042","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","14","3.700","35.7","28.6","7.1",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"903
Smr-Membrane Biochem (Adv)","001","","10","3.667","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"905
Smr-Biomolec Structur (Adv)","001","","13","3.550","7.7","69.2",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"907
Smr-Molecular Genetics(Adv)","001","","17","4.000","64.7",".",".",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"908
Smr:Nitrogen Fixation (Adv)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"909
Smr-Enzymology (Advanced)","001","","20","4.000","55.0",".",".",".",".",".",".","45.0",".",".",".",".",".",".",".","."
"910
Smr-Molecular Virolgy (Adv)","001","","14","4.000","21.4",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","."
"911
Smr:Molec Mech-Hormone Act","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"912
Smr-Molec Mech of Develpmnt","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","3.833","33.3","16.7",".",".",".",".",".","33.3",".",".",".","16.7",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","3.556","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","7","4.000","57.1",".",".",".",".",".",".","28.6",".",".",".","14.3",".",".",".","."
"990","038","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","039","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
