"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Advanced Fiction Workshop","303","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","307","002","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","","Course Total","","35","3.824","65.7","28.6","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309","001","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Expository&Critical Writing","315","001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Old English","320","001","","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of English Language","323","001","","30","3.367","16.7","60.0","6.7","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Structure of English-Tchrs","324","001","","17","3.471","52.9","23.5",".","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"Appl Eng Linguistics-Tchrs","325","001","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Readng&Disc Skills","326","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Academic Writing Skills","327","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","003","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","004","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","52","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"The Structure of English","329","001","","34","3.618","50.0","32.4","11.8","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"English Phonology","330","001","","32","3.328","43.8","15.6","25.0","6.3","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"English Dialects","331","001","","48","3.594","37.5","50.0","8.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Lang Learning","333","001","","17","3.559","41.2","41.2","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Theory & Prac","334","001","","24","3.771","66.7","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects-Engl Bible","349","001","","23","3.087","26.1","8.7","39.1","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","27","3.185","25.9","18.5","44.4","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","16","3.200","31.3","18.8","31.3","6.3",".",".","6.3",".",".",".",".",".",".",".","6.3","."
"Colloq:Rsch Possibilty-Engl","381","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sixteenth Century","400","001","","23","3.109","26.1","13.0","34.8","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Outstandg Figures-16thc Lit","401","001","","16","3.406","31.3","25.0","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","417","001","","35","2.971","17.1","22.9","22.9","17.1","17.1","2.9",".",".",".",".",".",".",".",".",".","."
"","417","002","","39","3.237","20.5","23.1","38.5","12.8","2.6",".",".",".",".",".",".",".",".",".","2.6","."
"Shakespeare","","Course Total","","74","3.110","18.9","23.0","31.1","14.9","9.5","1.4",".",".",".",".",".",".",".",".","1.4","."
"Milton","435","001","","21","3.024","42.9","4.8","19.0","9.5","14.3","4.8","4.8",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","33","3.344","33.3","30.3","15.2","6.1","12.1",".",".",".",".",".",".",".",".","3.0",".","."
"Studies in Romantic Lit","465","001","","39","3.013","10.3","15.4","59.0","7.7",".","2.6","2.6","2.6",".",".",".",".",".",".",".","."
"","467","001","","18","3.147","16.7","27.8","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","5.6"
"","467","002","","36","3.347","41.7","22.2","27.8","2.8",".",".","5.6",".",".",".",".",".",".",".",".","."
"Outstnd Figures-19c Eng Lit","","Course Total","","54","3.283","33.3","24.1","27.8","5.6","3.7",".","3.7",".",".",".",".",".",".",".",".","1.9"
"Victorian Poetry","473","001","","17","3.313","35.3","29.4","5.9","5.9","17.6",".",".",".",".",".",".",".",".",".",".","5.9"
"Jr Honors Seminar in Major","481","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","29","2.810","6.9","24.1","24.1","20.7","20.7","3.4",".",".",".",".",".",".",".",".",".","."
