"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
004","16","3.344","31.3","18.8","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
005","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
344","16","3.344","31.3","25.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
007","16","3.344","25.0","25.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","008
344","16","3.219","25.0","25.0","37.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","009
344","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
344","15","3.433","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","012
344","17","3.441","35.3","29.4","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","013
344","16","3.438","31.3","31.3","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","014
344","16","3.250","31.3","12.5","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","015
344","17","3.500","41.2","17.6","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","223","3.406","33.2","25.1","33.2","7.6","0.4","0.4",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","001
345","154","2.656","14.3","12.3","21.4","7.1","37.0","3.9","1.9","0.6",".",".",".",".",".","0.6",".","0.6"
"","346
001","12","3.429","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","27","3.467","33.3","25.9","40.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","36","3.014","25.0","8.3","44.4","5.6","11.1","2.8","2.8",".",".",".",".",".",".",".",".","."
"Intmed Analytical Chem","524
001","19","2.877","21.1","15.8","26.3","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","95","2.700","17.9","9.5","29.5","16.8","13.7","7.4","5.3",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","24","2.917","33.3","8.3","16.7","8.3","29.2",".","4.2",".",".",".",".",".",".",".",".","."
"","563
001","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
002","15","3.333","40.0","26.7","20.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","563
003","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","563
004","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","563
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","58","3.523","44.8","36.2","12.1","1.7","3.4","1.7",".",".",".",".",".",".",".",".",".","."
"","564
001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","564
002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565
001","85","3.100","44.7","5.9","21.2","4.7","14.1","7.1","2.4",".",".",".",".",".",".",".",".","."
"Chem Bonding & Reactivity","603
001","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Spectrochemical Measuremts","605
001","24","3.476","33.3","16.7","37.5",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Symmtry/Bondng/Molec Shapes","608
001","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrumental Analysis","621
001","19","3.556","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Spectroscopy","623
001","24","3.580","41.7","20.8","29.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics-Chem Instrumentation","626
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry","630
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","641
001","26","3.455","26.9","23.1","34.6",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Chem & Stat Thermodynamics","661
001","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quam Mech&Molec Spectroscpy","662
001","12","3.542","50.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Macromolecular Chem","664
001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","665
001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 168 of 373",""
