"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","",""
"100
001
Engr Fresh Pro Orientation","126","",".",".",".",".",".",".",".",".",".","98.4","1.6",".",".",".",".","."
"101
001
Contemp Iss-Engr Profession","211","3.371","30.8","34.6","23.7","6.2","1.9","0.9","1.4","0.5",".",".",".",".",".",".",".","."
"155
001
Basic Communication","278","3.371","31.7","30.9","27.3","7.2","1.1",".","1.8",".",".",".",".",".",".",".",".","."
"160
001
Introduction to Engineering","185","3.646","51.4","35.7","8.1","2.7","1.6",".","0.5",".",".",".",".",".",".",".",".","."
"275
001","24","3.688","54.2","29.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"275
002","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Technical Presentations","44","3.761","63.6","25.0","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"330
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"330
002","18","3.821","61.1","5.6","11.1",".",".",".",".","16.7",".",".",".",".",".",".",".","5.6"
"Course Total
Basic Technical Japanese I","22","3.806","59.1","13.6","9.1",".",".",".",".","13.6",".",".",".",".",".",".",".","4.5"
"374
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"374
002","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".",".",".","8.3"
"Course Total
Intermed Tech Japanese I","16","",".",".",".",".",".",".",".",".",".","87.5","6.3",".",".",".",".","6.3"
"395
001
Elems: Comp-Assist Publishg","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"397
001
Technical Writing","155","3.542","42.6","28.4","24.5","3.9","0.6",".",".",".",".",".",".",".",".",".",".","."
"398
001
Tech Communications Intrshp","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497
001
Technical Editing","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499
033
Senior Independent Study","2","***","","","","","","","","","",".",".",".",".",".",".","."
"597
001
Tech&Professnl Communicatn","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690
001
Special Topics in E P D","25","3.900","88.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"699
033
Independent Study","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3"
"E P D
Dept. Total
348","1133","3.558","38.9","25.6","16.4","4.0","1.0","0.2","0.8","0.4",".","12.2","0.3",".",".",".",".","0.4"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","",""
"Freshmen","541","3.513","32.0","25.5","15.2","4.3","0.9",".","1.1",".",".","20.9","0.2",".",".",".",".","."
"Sophomore","153","3.407","25.5","35.9","21.6","5.9","1.3","0.7","1.3",".",".","7.2","0.7",".",".",".",".","."
"Junior","125","3.537","42.4","28.0","20.0","5.6",".","0.8","0.8",".",".","1.6","0.8",".",".",".",".","."
"Senior","245","3.625","55.9","22.0","18.0","2.0","1.6",".",".",".",".","0.4",".",".",".",".",".","."
"Undergraduates","1064","3.536","37.8","26.5","17.3","4.1","1.0","0.2","0.8",".",".","11.9","0.3",".",".",".",".","."
"Special","48","3.837","50.0","6.3","4.2","2.1",".",".",".","8.3",".","22.9",".",".",".",".",".","6.3"
"Graduate","21","3.869","71.4","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"Dept. Total","1133","3.558","38.9","25.6","16.4","4.0","1.0","0.2","0.8","0.4",".","12.2","0.3",".",".",".",".","0.4"
