"BUS","","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"","765
004","17","3.971","94.1","5.9",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"","765
005","5","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","765
006","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Contemporary Topics","Course Total","57","3.920","82.5","15.8",".",".",".",".",".","1.8","",".",".",".","",".","",".",".",".","."
"Reading & Rsch-Bus Rsch PhD","999
078","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"GEN BUS
231","Dept. Total","852","3.248","32.4","21.2","24.3","5.3","10.7","1.5","0.5","0.5","",".","3.4","0.1","",".","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","",".",".",".",".",".",".",".",".","",".","92.3","7.7","",".","",".",".",".","."
"Sophomore","","10","",".",".",".",".",".",".",".",".","",".","100.0",".","",".","",".",".",".","."
"Junior","","151","3.172","25.2","20.5","29.8","5.3","11.3","2.6",".",".","",".","4.6",".","",".","",".",".",".","0.7"
"Senior","","529","3.130","25.1","21.9","29.1","7.0","14.0","1.7","0.8","0.4","",".",".",".","",".","",".",".",".","."
"Undergraduates","","703","3.139","24.3","20.9","28.3","6.4","12.9","1.8","0.6","0.3","",".","4.1","0.1","",".","",".",".",".","0.1"
"Special","","6","3.559","50.0","16.7","33.3",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","142","3.827","71.1","23.2","4.2",".",".",".",".","1.4","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","852","3.248","32.4","21.2","24.3","5.3","10.7","1.5","0.5","0.5","",".","3.4","0.1","",".","",".",".",".","0.1"
