"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"514
Instrctnl Computn-Schools I","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Teacher Ed-Human Sexuality","001","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
Pract-Spec Ed in the Arts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Iss, Mtls & Mthds-Hlth Educ","001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Art-Exceptional Education","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Methods-Media Instruction","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Intro-Video Production-Educ","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","002","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","003","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","004","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"630","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"630","006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Schl Program Develop","Course Total","","110","3.974","83.6","4.5",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"660
Early Childhood Education","001","","21","3.571","47.6","28.6","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"662
Elem School Curriculum","001","","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Lrng Envr-Initial Ed Progm","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","003","","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"675","004","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","005","","11","3.600","72.7",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","9.1"
"General Seminar","Course Total","","31","3.707","64.5","16.1","9.7",".",".","3.2",".",".",".",".",".",".",".",".",".","6.5"
"690","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Field Work","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","32","3.982","93.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","3.1"
"701
Analys-Computers in Curric","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Curric Dev-Desk Cmptr Envir","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 89 of 373"
