"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"615
Writing Travels","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Studies-S Asian Religions","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Proseminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Chi Bdhst Texts-Japnse Comm","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.952","76.9","7.7",".",".",".",".",".","7.7",".",".",".","7.7",".",".",".","."
"852
Civs of India-Modern Period","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"866","001","","9","3.357","55.6","11.1",".",".",".",".","11.1","11.1",".",".",".",".",".",".",".","11.1"
"866","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-South Asian St","Course Total","","15","3.615","66.7","13.3",".",".",".",".","6.7","6.7",".",".",".",".",".",".",".","6.7"
"873
Smr-Lang & Lit of S Asia","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Smr:Intrdis Approach-S Asia","001","","18","3.912","77.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"921
Seminar-Buddhist Logic","001","","17","3.500","35.3","5.9","5.9","5.9","5.9",".",".","41.2",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","4.000","64.3",".",".",".",".",".",".","21.4",".",".",".","14.3",".",".",".","."
