"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"101
General Microbiology","001","","72","2.732","18.1","8.3","25.0","13.9","26.4","5.6","1.4","1.4",".",".",".",".",".",".",".","."
"102","001","","46","3.239","23.9","37.0","15.2","19.6","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"102","002","","30","3.300","23.3","33.3","30.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","","76","3.263","23.7","35.5","21.1","14.5","3.9",".","1.3",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Procaryotic Microbiology","001","","241","2.521","10.0","13.7","17.4","17.8","28.2","7.9","3.7","1.2",".",".",".",".",".",".",".","."
"304","001","","27","2.981","11.1","22.2","29.6","25.9","11.1",".",".",".",".",".",".",".",".",".",".","."
"304","002","","43","2.907","4.7","14.0","53.5","14.0","14.0",".",".",".",".",".",".",".",".",".",".","."
"304","003","","40","3.188","22.5","20.0","37.5","12.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","","110","3.027","12.7","18.2","41.8","16.4","10.9",".",".",".",".",".",".",".",".",".",".","."
"324
Food Bacteriology Lab","001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"325
Food Bacteriology","001","","48","3.351","25.0","22.9","45.8","4.2",".",".",".",".",".",".",".",".",".",".","2.1","."
"425
Environmental Microbiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"526
Physiol of Microorganisms","001","","78","3.147","24.4","29.5","20.5","12.8","7.7","5.1",".",".",".",".",".",".",".",".",".","."
"527","001","","24","3.042","12.5","29.2","41.7","4.2","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"527","002","","22","3.455","40.9","22.7","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"527","003","","14","3.071","7.1","57.1","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"527","004","","15","3.433","40.0","26.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","","75","3.247","25.3","32.0","26.7","9.3","2.7","2.7","1.3",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","78","3.006","16.7","6.4","53.8","10.3","11.5","1.3",".",".",".",".",".",".",".",".",".","."
"607
Advanced Bacterial Genetics","001","","21","3.526","33.3","28.6","28.6",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"612
Prokaryotic Moleculr Gentcs","001","","23","3.205","21.7","4.3","65.2",".","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"640
Gen Virology-Multiplication","001","","42","3.250","26.2","19.0","33.3","9.5","7.1",".",".","2.4",".",".",".",".",".",".",".","2.4"
"681","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","3.932","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 8 of 373"
