"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"","990
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
014","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
017","","10","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","990
025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
026","","9","4.000","55.6",".",".",".",".",".",".",".",".",".",".","44.4",".",".",".","."
"","990
027","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","51","4.000","84.3",".",".",".",".",".",".","7.8",".",".",".","7.8",".",".",".","."
"","999
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
027","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
