"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","40","3.663","42.5","50.0","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","32","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","27","3.646","44.4","25.9","18.5",".",".",".",".","7.4",".",".",".",".",".","3.7",".","."
"300","004","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","28","3.821","67.9","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","146","3.664","46.6","37.7","13.0","0.7",".",".",".","1.4",".",".",".",".",".","0.7",".","."
"340
Comparative Education","001","","13","3.538","61.5","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"412
History-American Education","001","","26","3.340","42.3","15.4","23.1","3.8","7.7","3.8",".",".",".",".",".",".",".",".","3.8","."
"470
Asian Americans-US Schools","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"478
Compar Hist-Chldhood&Adoles","001","","9","2.833","11.1","11.1","33.3","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","25","3.500","32.0","40.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".","4.0",".","4.0"
"540
Modern Philosophies of Ed","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"713
Hist: Higher Ed-Europe&Amer","001","","20","3.632","40.0","40.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"720
Prosem-Soc Sci&Ed Pol Stdy","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","12","3.818","58.3","33.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"860
Theory & Meth in Compar Ed","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","32","3.940","43.8","6.3",".",".",".",".",".","21.9","6.3",".",".","18.8",".",".",".","3.1"
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
