"EDU","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"322
002","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"322
003","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Teachng Art:Pre-Middle Schl","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"323
001
Art in Elementary Education","","11","3.591","54.5","18.2","18.2","9.1","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"324
001
Art in Secondary Education","","10","3.700","70.0",".","30.0",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"423
001
Stdt Tchg-Elem School Art","","8","3.813","75.0","12.5","12.5",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"424
001
Stdt Tchg-Secondary Sch Art","","8","3.500","87.5",".",".",".","",".",".","","12.5",".","",".","",".",".","",".","",".","",".",".","."
"470
001
Practicum in Teaching Art","","11","3.636","54.5","27.3","9.1","9.1","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"493
001
Practicum in Teaching Art","","10","3.750","60.0","30.0","10.0",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"570
001
Art-Exceptional Education","","18","3.972","94.4","5.6",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"699
061
Independent Reading & Rsch","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"941
001
Artistc Dev&Learning Issues","","9","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"999
061
Adv Independent Reading","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ART ED
Dept. Total
176","","92","3.753","76.1","10.9","9.8","2.2","",".","",".","1.1","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","6","3.667","66.7",".","33.3",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","43","3.654","69.8","18.6","4.7","4.7","",".","",".","2.3","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","52","3.672","71.2","15.4","7.7","3.8","",".","",".","1.9","",".","",".",".","",".","",".","",".",".",".","."
"Special","","26","3.833","76.9","7.7","15.4",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","14","3.938","92.9",".","7.1",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","92","3.753","76.1","10.9","9.8","2.2","",".","",".","1.1","",".","",".",".","",".","",".","",".",".",".","."
