"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","7","3.417",".","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","101
002","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","18","3.559","38.9","33.3","16.7","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","102
002","","8","3.000","12.5","25.0","37.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","14","3.036","7.1","28.6","42.9","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","103
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","8","2.500",".","50.0",".","12.5",".","12.5","12.5",".",".",".",".",".",".","12.5",".","."
"","104
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","104
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Single Reeds","14
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition","147
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
003","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","048
201","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","40","3.732","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intermed Harpsichard","202
042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Organ","203
042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
021","","6","3.769","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
031","","13","3.630","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
037","","11","3.227",".","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","38","3.607","34.2","47.4","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207
024","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","211
005","","6","3.813","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","Course Total","","7","3.833","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Element/Intermed Saxophone","050
213","","6","3.536","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
