"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","3.707","62.1","20.7","13.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"703
History and Theory","001","","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"713
Hist: Higher Ed-Europe&Amer","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Prosem-Latin Amer History","001","","16","3.885","62.5","18.8",".",".",".",".",".","12.5",".",".",".",".",".",".","6.3","."
"734
Modern Archives Adm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","001","","9","3.880","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Seminar-Ancient History","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"814
Smr-Hist Eur Dur Reform","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Sem-Hist of Early Mod Brtin","001","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"858
Smr-Prob of Islamic History","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Seminar-History of Africa","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"867
Smr:European Soc&Intel Hist","001","","14","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".",".","28.6"
"891
Prosem-Mod European History","002","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","002","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"901","003","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","005","","12","3.691","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in American History","Course Total","","54","3.855","70.4","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","1.9"
"902
Rsch Smr: American History","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"918
Smr-Hist Mass Com,Rsch&Meth","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","008","","11","4.000","54.5",".",".",".",".",".",".","36.4",".",".",".","9.1",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".","16.7",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","9","4.000","22.2",".",".",".",".",".",".","33.3",".",".",".","44.4",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
