"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","22","3.972","77.3","4.5",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","002
1","36","3.823","63.9","16.7","2.8","2.8",".",".",".","13.9",".",".",".",".",".",".",".","."
"","1
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","70","3.918","74.3","10.0","1.4","1.4",".",".",".","12.9",".",".",".",".",".",".",".","."
"","11
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","11
003","17","3.469","29.4","35.3","23.5","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","38","3.770","68.4","15.8","10.5","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111
001","21","3.750","71.4","4.8","14.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Dance Tech for Gen Majors","113
001","10","3.722","60.0","10.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Modern Dance II","12
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","28","3.704","75.0","10.7","3.6","3.6",".",".","3.6","3.6",".",".",".",".",".",".",".","."
"Rhythmic Movement Lab I","144
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151
001","21","3.452","47.6","14.3","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167
001","19","3.553","47.4","15.8","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","21
001","18","3.727","27.8","33.3",".",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","21
002","19","3.750","42.1","26.3","5.3",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","003
21","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","Course Total","54","3.750","40.7","35.2","1.9",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211
001","13","3.077","38.5","30.8","15.4",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","19","3.821","57.9","5.3","10.5",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"Dance: An Intro Survey","265
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","31
001","22","3.789","50.0","36.4",".",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"","002
31","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","43","3.838","62.8","30.2",".",".",".",".",".","7.0",".",".",".",".",".",".",".","."
"Modern Dance Technique V","311
001","10","3.611","20.0","70.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","25","3.913","80.0","8.0","4.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Intro to Asian Performance","326
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351
001","14","3.393","21.4","42.9","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition II","355
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Creative Dance for Children","371
001","11","3.714","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","2","***","","","","","","","","","","","","","","","",""
"","41
001","40","3.417","2.5","7.5","5.0",".",".",".",".","80.0",".",".",".",".",".","5.0",".","."
"","002
41","36","3.790","72.2","8.3","2.8",".",".",".","2.8","13.9",".",".",".",".",".",".",".","."
"","41
003","37","3.952","75.7","8.1",".",".",".",".",".","16.2",".",".",".",".",".",".",".","."
"","41
004","46","3.382","21.7","23.9","34.8",".","2.2",".",".","17.4",".",".",".",".",".",".",".","."
"","41
005","39","3.452","20.5","30.8","28.2",".",".",".",".","20.5",".",".",".",".",".",".",".","."
"Ballroom Dancing","Course Total","198","3.620","36.9","16.2","15.2",".","0.5",".","0.5","29.8",".",".",".",".",".","1.0",".","."
"Ballroom Dance II","42
001","49","3.961","71.4","6.1",".",".",".",".",".","22.4",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","8","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","451
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
