"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Feedback Control Systems","332
001","34","2.500","5.9","14.7","23.5","8.8","35.3","11.8",".",".",".",".",".",".",".",".",".","."
"Communication Systems","333
001","18","3.206","38.9","5.6","33.3",".","11.1","5.6",".",".",".",".",".",".",".","5.6",".","."
"","335
001","28","2.607","7.1","21.4","17.9","14.3","32.1","3.6","3.6",".",".",".",".",".",".",".",".","."
"","002
335","45","2.656","13.3","6.7","33.3","8.9","31.1","4.4","2.2",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","73","2.637","11.0","12.3","27.4","11.0","31.5","4.1","2.7",".",".",".",".",".",".",".",".","."
"","340
001","21","3.095","4.8","52.4","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","340
002","40","2.563","10.0","12.5","25.0","10.0","35.0","2.5","5.0",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","Course Total","61","2.746","8.2","26.2","21.3","11.5","27.9","1.6","3.3",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","35","2.838","17.1","22.9","17.1","8.6","22.9","8.6",".","2.9",".",".",".",".",".",".",".","."
"","350
001","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
350","17","3.588","35.3","52.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","17","3.059",".","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","50","3.460","30.0","40.0","22.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","11","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","003
351","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
351","12","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","11","3.500","36.4","45.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","351
008","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","70","3.507","35.7","38.6","20.0","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","352
001","40","3.088","12.5","37.5","25.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","002
352","43","3.093","14.0","23.3","39.5","18.6","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","83","3.090","13.3","30.1","32.5","16.9","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","001
353","48","2.740","22.9","8.3","12.5","18.8","31.3","6.3",".",".",".",".",".",".",".",".",".","."
"","354
001","21","3.119","14.3","38.1","19.0","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","354
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","29","3.034","13.8","34.5","24.1","13.8","10.3",".","3.4",".",".",".",".",".",".",".",".","."
"","001
355","15","2.933","13.3","20.0","26.7","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","355
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","17","2.971","17.6","17.6","23.5","23.5","17.6",".",".",".",".",".",".",".",".",".",".","."
"","370
001","12","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
006","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","63","3.778","63.5","31.7","1.6","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","001
376","44","3.045","18.2","22.7","27.3","13.6","18.2",".",".",".",".",".",".",".",".",".",".","."
"","376
002","63","3.325","27.0","33.3","28.6","3.2","6.3","1.6",".",".",".",".",".",".",".",".",".","."
"","003
376","61","3.180","27.9","14.8","29.5","21.3","6.6",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","168","3.199","25.0","23.8","28.6","12.5","9.5","0.6",".",".",".",".",".",".",".",".",".","."
"","377
001","41","2.775","17.1","17.1","24.4","12.2","14.6","9.8","2.4","2.4",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 117 of 373",""
