"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"","100
001","81","2.926","14.8","22.2","28.4","19.8","9.9","1.2","3.7",".",".",".",".",".",".",".",".","."
"","100
002","81","2.744","11.1","16.0","30.9","17.3","13.6","7.4","2.5",".",".",".",".",".",".","1.2",".","."
"General Geology","Course Total","162","2.835","13.0","19.1","29.6","18.5","11.7","4.3","3.1",".",".",".",".",".",".","0.6",".","."
"","101
001","57","2.596","15.8","7.0","22.8","10.5","33.3","10.5",".",".",".",".",".",".",".",".",".","."
"","002
101","44","2.920","18.2","18.2","20.5","25.0","15.9",".","2.3",".",".",".",".",".",".",".",".","."
"General Geology","Course Total","101","2.738","16.8","11.9","21.8","16.8","25.7","5.9","1.0",".",".",".",".",".",".",".",".","."
"","102
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","Course Total","6","2.833","33.3",".","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","105
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
002","19","3.132","21.1","15.8","42.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","Course Total","24","3.021","25.0","12.5","33.3","8.3","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106
001","100","2.480","8.0","7.0","29.0","5.0","43.0","6.0","2.0",".",".",".",".",".",".",".",".","."
"Life of the Past","107
001","54","2.907","33.3","13.0","16.7","13.0","14.8",".","9.3",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110
001","183","2.533","12.0","8.2","31.1","9.3","23.0","12.6","3.3","0.5",".",".",".",".",".",".",".","."
"Directed Study","198
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Mineralogy","360
001","48","2.652","12.5","14.6","22.9","14.6","20.8","6.3","4.2","4.2",".",".",".",".",".",".",".","."
"Introductory Geochemistry","375
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Geology","455
001","47","3.202","31.9","12.8","36.2","2.1","17.0",".",".",".",".",".",".",".",".",".",".","."
"Geologic Field Methods","456
001","17","3.382","35.3","23.5","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Econ Geology","515
001","6","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Quaternary Period","527
001","9","3.389","11.1","77.8",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Paleontology I","540
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Paleobiology","541
001","21","3.474","52.4","23.8",".","4.8","4.8",".","4.8","9.5",".",".",".",".",".",".",".","."
"Hydrogeology","001
627","49","2.959","8.2","20.4","36.7","28.6","4.1","2.0",".",".",".",".",".",".",".",".",".","."
"","691
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","727
001","14","3.846","78.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","727
002","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"Advanced Hydrogeology","Course Total","24","3.818","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","4.2","4.2"
"Metamorphic Petrology","772
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electron Microprobe Anal","777
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
