"","999
005","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
010","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
013","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"DS
359","Dept. Total","543","3.122","27.3","19.5","25.8","13.1","8.1","4.2","0.6","1.1","",".",".","",".","",".","",".","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","2.884","10.7","12.5","42.9","14.3","14.3","3.6",".",".","",".",".","",".","",".","",".","1.8",".","."
"Sophomore","","85","3.034","15.3","24.7","30.6","22.4","1.2","4.7","1.2",".","",".",".","",".","",".","",".",".",".","."
"Junior","","134","3.125","24.6","20.1","28.4","14.2","9.7","3.0",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","234","3.107","29.9","20.1","21.8","10.3","9.4","5.6","0.9","1.7","",".",".","",".","",".","",".","0.4",".","."
"Undergraduates","","509","3.078","24.0","20.0","27.3","13.8","8.6","4.5","0.6","0.8","",".",".","",".","",".","",".","0.4",".","."
"Special","","9","3.591","44.4","22.2",".","11.1",".",".",".","22.2","",".",".","",".","",".","",".",".",".","."
"Graduate","","25","3.915","88.0","8.0","4.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","543","3.122","27.3","19.5","25.8","13.1","8.1","4.2","0.6","1.1","",".",".","",".","",".","",".","0.4",".","."
