"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".",".","."
"700
Smr: Rehab Psych Research","001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Meth & Curric-Lrng Dis (El)","001","","12","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"763
Pract-Learning Dis (Elem)","013","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Pract-Learning Dis (Second)","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Rsch, Pol & Prac-Spec Educ","001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".","7.1",".",".",".","."
"803","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues-Special Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"810
Rehab Cnslg Psych-Technique","001","","18","3.660","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 1","Course Total","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 2","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indv/Dsblty:Etiol&Develpmnt","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indv/Disblty:Educ&Soc Iss","Course Total","","3","***","","","","","","","","","","","","","","","",""
"910
Rehab Cnsl Psych-Internship","001","","11","3.879","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Rehab Cnsl Psych-Cnsl Supvn","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
