"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"Managerial Cost Accounting","Course Total","110","3.305","30.0","24.5","31.8","7.3","4.5","1.8",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","19","3.206","10.5","31.6","36.8","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","5.3"
"","340
001","33","2.970","3.0","9.1","75.8","3.0","9.1",".",".",".",".",".",".",".",".",".",".","."
"","002
340","44","3.114","15.9","13.6","54.5","9.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"","340
003","44","3.068","11.4","13.6","63.6","9.1",".",".","2.3",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","121","3.058","10.7","12.4","63.6","7.4","5.0",".","0.8",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","399
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","406
001","21","2.810","9.5","23.8","23.8","23.8","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"","002
406","24","3.458","33.3","45.8","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","406
003","25","2.860","28.0","16.0","16.0","12.0","16.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","70","3.050","24.3","28.6","14.3","15.7","10.0","5.7","1.4",".",".",".",".",".",".",".",".","."
"Analysis-Financial Reports","001
603","18","3.500","33.3","33.3","22.2","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","620
001","35","3.074","42.9","17.1","5.7","14.3","5.7","2.9","8.6","2.9",".",".",".",".",".",".",".","."
"","002
620","24","3.333","54.2","4.2","12.5","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","620
003","47","3.287","40.4","21.3","8.5","14.9","14.9",".",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","106","3.229","44.3","16.0","8.5","16.0","9.4","1.9","2.8","0.9",".",".",".",".",".",".",".","."
"Income Tax Accounting II","001
621","11","3.045","27.3","18.2","18.2","9.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"Proprty,Wills,Trusts,Estate","623
001","16","3.000","25.0","6.3","37.5","6.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","630
001","12","3.333","33.3","16.7","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","630
002","40","3.063","12.5","15.0","55.0","7.5","10.0",".",".",".",".",".",".",".",".",".",".","."
"","630
003","36","3.000","16.7","11.1","44.4","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"Auditing","Course Total","88","3.074","17.0","13.6","48.9","8.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","700
001","39","3.359","30.8","28.2","25.6","12.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"","700
002","41","3.438","26.8","39.0","26.8","2.4","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","80","3.399","28.8","33.8","26.3","7.5","2.5",".",".","1.3",".",".",".",".",".",".",".","."
"Financial Reporting I","001
701","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","702
001","11","3.318","45.5","9.1","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","706
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"International Accounting","707
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
001","40","3.663","57.5","20.0","20.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Income Taxatn&Bus Decisions","729
001","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mgmnt Cntrl & Cost Acct","771
001","27","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
103","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Research-Accounting","Course Total","3","***","","","","","","","","","","","","","","","",""
"","971
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","971
002","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","Course Total","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
069","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 53 of 373"
