"","E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","","63","3.238","41.3","14.3","23.8","4.8","9.5","6.3",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","103","001","","57","3.321","38.6","31.6","8.8","10.5","3.5","1.8","3.5","1.8",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","","24","2.717","16.7","20.8","12.5","16.7","16.7","8.3","4.2","4.2",".",".",".",".",".",".",".","."
"Elementary Chinese","122","001","","16","3.125","31.3","6.3","12.5","12.5","6.3","6.3",".","25.0",".",".",".",".",".",".",".","."
"Elementary Japanese","124","001","","19","2.765","15.8","26.3","10.5","15.8","5.3","10.5","5.3","10.5",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","","16","3.375","37.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","","36","2.714","11.1","5.6","33.3","22.2","19.4","5.6",".","2.8",".",".",".",".",".",".",".","."
"Chinese Calligraphy","231","001","","18","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","11","2.786",".",".","36.4","27.3",".",".",".","36.4",".",".",".",".",".",".",".","."
"Directed Study","299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","","19","3.417","47.4","21.1","5.3","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","","15","2.923","6.7","26.7","6.7","40.0","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"First Semester Chinese","311","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","319","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","","17","3.594","35.3","41.2","17.6",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"Elementary Korean","325","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Modern China 1911-1949","338","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"I-Ching-Book of Change","340","001","","20","3.483","15.0","60.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341","001","","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","351","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","353","001","","18","3.389","33.3","44.4","16.7",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Arts of China","355","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Arts of Japan","357","001","","7","2.857","14.3",".","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","52","2.755","15.4","5.8","40.4","7.7","23.1","1.9","3.8","1.9",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","","9","2.667",".","22.2","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Chinese Linguistics","431","001","","11","3.564","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth-year Chinese","501","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth-year Japanese","503","001","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Modern Japanese Lit","563","001","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Japanese-Foreign Lang","623","001","","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature","651","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","3.708","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-Chinese Literature","701","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Historical Texts","761","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 188 of 373",""
