"TERM : 0972","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1996-97","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"FRENCH
Dept. Total
400","1434","3.536","44.0","29.3","17.2","3.3","2.0","0.3","0.6","2.6","0.1",".","",".","",".","",".","0.1","0.1","0.3"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","539","3.575","45.5","34.0","15.6","2.6","2.0",".","0.4",".",".",".","",".","",".","",".",".",".","."
"Sophomore","292","3.489","42.1","30.1","19.9","3.1","2.1","0.7","1.0",".",".",".","",".","",".","",".","0.3",".","0.7"
"Junior","227","3.486","42.3","26.9","22.0","6.6","0.9",".","0.9","0.4",".",".","",".","",".","",".",".",".","."
"Senior","220","3.447","40.5","28.2","19.5","4.1","4.1","0.9","0.5","1.8",".",".","",".","",".","",".","0.5",".","."
"Undergraduates","1278","3.520","43.3","30.8","18.4","3.7","2.2","0.3","0.6","0.4",".",".","",".","",".","",".","0.2",".","0.2"
"Special","28","3.421","46.4","10.7","28.6",".",".",".","3.6","3.6","3.6",".","",".","",".","",".",".","3.6","."
"Graduate","125","3.828","50.4","18.4","3.2",".",".",".",".","24.8","0.8",".","",".","",".","",".",".","0.8","1.6"
"Prof Yr 1","1","",".",".",".",".",".",".",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".","",".","",".","",".",".",".","."
"Dept. Total","1434","3.536","44.0","29.3","17.2","3.3","2.0","0.3","0.6","2.6","0.1",".","",".","",".","",".","0.1","0.1","0.3"
