"HEBREW (HEBREW AND SEMITI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"","101
001","","18","3.324","50.0","16.7","5.6","11.1",".","11.1",".",".",".",".",".",".",".",".","5.6","."
"","101
002","","22","3.318","59.1","13.6","9.1","4.5",".","9.1","4.5",".",".",".",".",".",".",".",".","."
"","101
003","","19","3.306","47.4","10.5","21.1","5.3","5.3",".","5.3","5.3",".",".",".",".",".",".",".","."
"","004
101","","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","","80","3.429","55.0","16.3","12.5","5.0","1.3","5.0","2.5","1.3",".",".",".",".",".",".","1.3","."
"Biblical Hebrew-First Sem","103
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
201","","18","3.361","33.3","22.2","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","","30","3.450","40.0","23.3","23.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","","26","3.558","50.0","19.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","323
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biblical Lit","341
001","","12","3.600","33.3","41.7",".","8.3",".",".",".",".",".",".",".",".",".","8.3","8.3","."
"Hebrew Lit: Medieval-Modern","342
001","","6","2.500","50.0",".",".",".",".","50.0",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","343
001","","35","3.250","31.4","22.9","17.1","14.3","11.4",".",".","2.9",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","","23","3.283","17.4","43.5","30.4","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","472
001","","27","2.957","25.9","7.4","37.0","3.7","18.5","7.4",".",".",".",".",".",".",".",".",".","."
"BIblical Texts, Poetry","513
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","","12","3.400","58.3","25.0",".","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Aramaic I","601
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Hebrew Grammar&Compstn","623
001","","6","2.750","33.3","16.7",".",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"The Book of Ezekiel","641
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Seminar-Biblical Studies","951
001","","9","3.000","11.1",".","55.6",".","11.1",".",".","22.2",".",".",".",".",".",".",".","."
"","990
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
990","","7","3.750","14.3","14.3",".",".",".",".",".","42.9",".",".",".","28.6",".",".",".","."
"Research and Thesis","Course Total","","8","3.833","25.0","12.5",".",".",".",".",".","37.5",".",".",".","25.0",".",".",".","."
