"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to East Asian Civ","222
001","","30","2.967","13.3","23.3","26.7","23.3","10.0","3.3",".","",".","",".","",".",".","",".","",".","",".",".","."
"E A STDS
298","Dept. Total","","30","2.967","13.3","23.3","26.7","23.3","10.0","3.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","8","2.438",".","12.5","25.0","25.0","25.0","12.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","13","2.962","7.7","15.4","38.5","38.5",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","3.750","50.0","50.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","3.200","20.0","40.0","20.0",".","20.0",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","30","2.967","13.3","23.3","26.7","23.3","10.0","3.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","30","2.967","13.3","23.3","26.7","23.3","10.0","3.3","",".","",".","",".",".","",".","",".","",".",".",".","."
