"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"201","001","","25","2.540",".","4.0","52.0","8.0","32.0",".","4.0",".",".",".",".",".",".",".",".","."
"201","002","","24","2.875","20.8","8.3","25.0","16.7","29.2",".",".",".",".",".",".",".",".",".",".","."
"Surveying Fundamentals","Course Total","","49","2.704","10.2","6.1","38.8","12.2","30.6",".","2.0",".",".",".",".",".",".",".",".","."
"202","001","","20","2.474","5.0",".","35.0",".","55.0",".",".","5.0",".",".",".",".",".",".",".","."
"202","002","","22","3.045","31.8",".","40.9",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"Field Applicatns-Surveying","Course Total","","42","2.780","19.0",".","38.1",".","40.5",".",".","2.4",".",".",".",".",".",".",".","."
"240
Field Machines","001","","11","3.545","54.5","27.3",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Private Water & Sewage Sys","001","","33","2.429","3.0","12.1","24.2","12.1","21.2","6.1","6.1",".",".",".",".",".",".","12.1","3.0","."
"361
Principles of Ag Machinery","001","","11","2.955","9.1","36.4","18.2","27.3",".","9.1",".",".",".",".",".",".",".",".",".","."
"364
Phys Prop&Procssng-Ag Prod","001","","10","2.500",".","10.0","20.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".","."
"371
Soil and Water Engineering","001","","19","3.079","21.1","10.5","42.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"422
Constructn Cost Estimating","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"449
Structural Systems","002","","29","2.207","10.3",".","13.8","13.8","48.3","6.9","6.9",".",".",".",".",".",".",".",".","."
"471
Small Watershed Engineering","001","","16","3.375","43.8",".","50.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"501
Fundmntl-Biol&Ag Engr Desgn","001","","16","3.438",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","6","3.500","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.614","81.8",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"900
Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","9","4.000","44.4",".",".",".",".",".",".","33.3",".",".",".","22.2",".",".",".","."
"999
Special Problems","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
