"238
OTM","","","","","","","","","","","","","","","","","","","","","","",""
"","990
117","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","8","4.000","50.0",".",".",".",".",".","",".","25.0","",".",".","",".","25.0","",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","999
012","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"OTM
238","Dept. Total","1032","3.372","30.7","30.1","24.6","9.3","3.3","0.6","",".","0.9","",".",".","",".","0.2","",".",".","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","309","3.278","29.8","25.2","23.3","15.9","4.2","1.3","",".",".","",".",".","",".",".","",".",".",".","0.3"
"Senior","","353","3.259","21.8","31.4","29.7","9.9","5.7","0.6","",".","0.8","",".",".","",".",".","",".",".",".","."
"Undergraduates","","662","3.267","25.5","28.5","26.7","12.7","5.0","0.9","",".","0.5","",".",".","",".",".","",".",".",".","0.2"
"Special","","32","3.565","40.6","40.6","6.3","6.3","3.1",".","",".",".","",".",".","",".",".","",".",".","3.1","."
"Graduate","","329","3.569","40.4","32.5","21.6","2.7",".",".","",".","1.8","",".",".","",".","0.6","",".",".",".","0.3"
"Prof Yr 2","","6","3.167","16.7","16.7","50.0","16.7",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","3","3.500","33.3","33.3","33.3",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","9","3.278","22.2","22.2","44.4","11.1",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1032","3.372","30.7","30.1","24.6","9.3","3.3","0.6","",".","0.9","",".",".","",".","0.2","",".",".","0.1","0.2"
