"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","19","3.474","31.6","31.6","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","21","3.550","33.3","38.1","23.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","116","003","","25","3.440","20.0","52.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","65","3.484","27.7","41.5","27.7","1.5",".",".",".","1.5",".",".",".",".",".",".",".","."
"Movement Activity Core","121","001","","19","3.053","5.3","31.6","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","7","3.286","42.9","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Intro-Athletic Injuries","217","001","","32","3.500","53.1","15.6","21.9","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","218","001","","62","3.081","17.7","21.0","38.7","14.5","3.2","4.8",".",".",".",".",".",".",".",".",".","."
"","300","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","7","3.688","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Phys Education","","Course Total","","41","3.907","78.0","19.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","79","3.323","7.6","57.0","31.6","2.5",".","1.3",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","31","3.452","29.0","38.7","25.8","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Education","316","001","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Muscloskel Injry","317","001","","25","3.740","64.0","28.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","23","3.804","91.3","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","39","3.756","76.9","12.8","7.7",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","350","001","","56","3.182","26.8","25.0","21.4","14.3","7.1","3.6",".","1.8",".",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357","001","","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","71","3.141","16.9","23.9","43.7","7.0","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Athletic Training","398","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","3.933","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","30","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych Found-Sport&Phys Act","600","001","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","58","3.129","12.1","17.2","56.9","12.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"","699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Neural Basis for Movement","721","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Measuring Motor Behav","870","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Biodynamics Seminar","953","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
