"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Microorganisms","001","","106","2.849","17.9","21.7","19.8","17.9","14.2","4.7","3.8",".",".",".",".",".",".",".",".","."
"302","001","","30","3.200","16.7","36.7","26.7","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"302","002","","29","3.224","27.6","24.1","17.2","27.6","3.4",".",".",".",".",".",".",".",".",".",".","."
"302","003","","16","3.219","6.3","56.3","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Pathogenic Microorgnsm Lab","Course Total","","75","3.213","18.7","36.0","20.0","20.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"450
Gastro Ecol&Anaerobic Micrb","001","","9","3.313","22.2","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"504
Infect Disease-Human Beings","001","","60","3.603","56.7","6.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".","3.3","."
"528
Immunology","001","","61","3.042","21.3","9.8","44.3","4.9","14.8",".","1.6","3.3",".",".",".",".",".",".",".","."
"529
Immunology Laboratory","001","","25","3.420","40.0","24.0","24.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"696
Senior Seminar","001","","24","3.833","95.8",".",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.921","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Infection and Immunity I","001","","146","3.425","43.2",".","56.2",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"901
Seminar","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
