"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","3","4.000","66.7",".",".",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"Senior","","20","3.622","45.0","25.0","25.0",".","",".","",".","",".","5.0","",".",".","",".",".","",".",".",".","."
"Undergraduates","","24","3.648","50.0","20.8","20.8",".","",".","",".","",".","8.3","",".",".","",".",".","",".",".",".","."
"Special","","2","3.000",".",".","100.0",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","95","3.746","47.4","9.5","9.5","1.1","",".","",".","",".","30.5","",".",".","",".","2.1","",".",".",".","."
"Prof Yr 1","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","4","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".",".","",".",".",".","."
