"TERM : 0972","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1996-97","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","500","3.751","58.4","33.6","4.2","1.6","0.2","0.2","",".","0.6","",".",".","",".","0.2","",".",".",".","1.0"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"Junior","6","3.500","16.7","66.7","16.7",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","16","3.750","56.3","37.5","6.3",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","22","3.682","45.5","45.5","9.1",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","16","3.813","62.5","37.5",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","463","3.752","58.7","32.8","4.1","1.7","0.2","0.2","",".","0.6","",".",".","",".","0.2","",".",".",".","1.3"
"Dept. Total","501","3.751","58.3","33.5","4.2","1.6","0.2","0.2","",".","0.6","",".",".","",".","0.2","",".",".",".","1.2"
