"COMMUNICATIVE DISORDERS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","","97","2.918","34.0","8.2","20.6","8.2","18.6","7.2","3.1",".",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","","24","3.708","54.2","33.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","","46","3.228","19.6","39.1","15.2","19.6","6.5",".",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","","44","2.534","11.4","18.2","20.5","11.4","20.5","13.6","4.5",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","","61","3.197","26.2","26.2","18.0","26.2","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","","98","3.602","45.9","33.7","17.3","1.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception","303","001","","71","3.366","36.6","32.4","18.3","4.2","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","","75","3.473","38.7","18.7","41.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Dev/Disorder-SchoolAge","342","001","","45","3.200","33.3","11.1","37.8","2.2","13.3","2.2",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","","36","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","390","001","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Conservation","421","001","","43","3.384","30.2","34.9","20.9","9.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"","424","001","","14","3.944","57.1","7.1",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","424","002","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","","Course Total","","29","3.833","62.1","13.8","6.9",".",".",".",".","17.2",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","","16","3.563","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Science","701","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dysphasia in Adults","712","001","","47","3.489","12.8","72.3","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","717","001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719","001","","21","3.452","14.3","61.9","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Audiology I","720","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Auditory Disorders in Child","723","001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acoustic-Immittance Measure","727","001","","8","3.250","12.5","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Aug Com Sys-Severly Handcp","731","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","","14","3.844","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","","14","3.906","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","","7","3.500","71.4",".",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","","14","3.800","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 179 of 373",""
