"","999
017","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
026","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
027","7","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"Independent Reading","Course Total","11","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"COUN PSY
270","Dept. Total","554","3.889","81.8","10.6","3.1","0.5","0.2","",".","0.4","1.8","",".",".","",".","0.7","",".","0.7","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.682","81.8","9.1","3.0",".",".","",".","6.1",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","41","3.907","80.5","14.6",".",".",".","",".",".","2.4","",".",".","",".",".","",".","2.4",".","."
"Junior","","57","3.774","70.2","19.3","3.5","1.8","1.8","",".",".","1.8","",".",".","",".",".","",".","1.8",".","."
"Senior","","98","3.636","56.1","27.6","12.2","2.0",".","",".",".",".","",".",".","",".",".","",".","2.0",".","."
"Undergraduates","","229","3.704","67.7","20.5","6.6","1.3","0.4","",".","0.9","0.9","",".",".","",".",".","",".","1.7",".","."
"Special","","51","3.973","88.2",".","2.0",".",".","",".",".","7.8","",".",".","",".",".","",".",".","2.0","."
"Graduate","","274","3.972","92.3","4.4","0.4",".",".","",".",".","1.5","",".",".","",".","1.5","",".",".",".","."
"","Dept. Total","554","3.889","81.8","10.6","3.1","0.5","0.2","",".","0.4","1.8","",".",".","",".","0.7","",".","0.7","0.2","."
