"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"720
Integer Programming","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Nonlinear Progrmg Thry&Appl","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Nonsmooth Optimization","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"736
Advanced Operating Systems","001","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Computer System Performance","001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Distributed Systems","001","","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
VLSI Systems Design","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"764
Topics-Database Mgt Systems","001","","27","3.630","48.1","29.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Computational Linguistics","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"780
Robot Motion Planning","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","092","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","30","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"810
Models&Formalisms-Computatn","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"838","001","","12","3.818","75.0",".","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"838","002","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Computing","Course Total","","22","3.810","77.3",".","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"899","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 185 of 373",""
