"NAVAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Naval Science","103
001","20","3.250","35.0","35.0","15.0","5.0","",".","5.0","5.0",".","",".","",".",".","",".","",".","",".",".","."
"Naval Orientation Lab","175
001","17","4.000","100.0",".",".",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Naval Engineering Lab","275
001","12","4.000","100.0",".",".",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","321
001","6","3.583","50.0","33.3",".","16.7","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","321
002","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Navigation & Operations I","Course Total","8","3.500","37.5","37.5","12.5","12.5","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Land Campaigns","351
001","13","3.615","53.8","23.1","15.4","7.7","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Naval Navigation Laboratory","375
001","9","4.000","100.0",".",".",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","443
001","22","3.750","54.5","40.9","4.5",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","443
002","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Naval Leadership&Managemt I","Course Total","24","3.750","54.2","41.7","4.2",".","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Amphibious Campaigns","461
001","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Naval Management Laboratory","475
001","12","3.917","91.7",".","8.3",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"NAV SCI
672","Dept. Total","116","3.661","69.0","19.8","6.9","2.6","",".","0.9","0.9","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","37","3.549","64.9","24.3","2.7","2.7","",".","2.7","2.7","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","27","3.620","66.7","14.8","14.8","3.7","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","27","3.691","74.1","14.8","7.4","3.7","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","29","3.773","72.4","20.7","6.9",".","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","120","3.661","69.2","19.2","7.5","2.5","",".","0.8","0.8","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","120","3.661","69.2","19.2","7.5","2.5","",".","0.8","0.8","",".","",".",".","",".","",".","",".",".",".","."
