"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","13","3.192","15.4","38.5","38.5",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","170
002","15","3.133","6.7","53.3","33.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","170
003","14","3.286","28.6","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","005
170","16","2.906","6.3","6.3","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","170
008","14","3.464","21.4","57.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","170
009","15","3.467","26.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","101","3.287","22.8","34.7","27.7","12.9",".","1.0","1.0",".",".",".",".",".",".",".",".","."
"","220
001","48","2.854","8.3","20.8","43.8","12.5","8.3",".","6.3",".",".",".",".",".",".",".",".","."
"","220
002","40","2.725","12.5","12.5","27.5","22.5","17.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","88","2.795","10.2","17.0","36.4","17.0","12.5","2.3","4.5",".",".",".",".",".",".",".",".","."
"","230
001","33","2.561","9.1","24.2","15.2","15.2","21.2","9.1","6.1",".",".",".",".",".",".",".",".","."
"","230
002","38","3.122","21.1","21.1","31.6","7.9","15.8",".",".",".",".",".",".",".",".",".",".","2.6"
"Circuit Analysis","Course Total","71","2.857","15.5","22.5","23.9","11.3","18.3","4.2","2.8",".",".",".",".",".",".",".",".","1.4"
"","001
270","15","3.733","73.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","270
002","12","3.667","75.0",".","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","13","3.500","38.5","38.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","270
005","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
270","13","3.577","76.9","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","270
008","13","3.423","30.8","38.5","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","74","3.595","58.1","21.6","10.8","5.4","2.7",".","1.4",".",".",".",".",".",".",".",".","."
"","271
001","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
271","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","49","3.520","28.6","46.9","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","313
001","15","3.633","60.0","6.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","9","3.500","22.2","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","12","3.125","16.7","41.7","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","004
315","11","3.455","27.3","54.5",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","32","3.344","21.9","53.1","3.1","15.6","6.3",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","34","3.197","26.5","23.5","26.5","14.7","2.9",".","2.9",".",".",".",".",".",".","2.9",".","."
"","002
320","28","3.357","39.3","28.6","14.3",".","17.9",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","Course Total","62","3.270","32.3","25.8","21.0","8.1","9.7",".","1.6",".",".",".",".",".",".","1.6",".","."
"","330
001","30","2.617","20.0","6.7","20.0","3.3","40.0","10.0",".",".",".",".",".",".",".",".",".","."
"","002
330","42","2.786","14.3","31.0","4.8","11.9","31.0","7.1",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","Course Total","72","2.715","16.7","20.8","11.1","8.3","34.7","8.3",".",".",".",".",".",".",".",".",".","."
