"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Internship: Adv Prof Pract","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","5","***","","","","","","","","","","","","","","","",""
"940","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Supv Rsch","Course Total","","3","***","","","","","","","","","","","","","","","",""
"941","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"980
Adult Cognitive Assessment","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"983
Smr:Profsnl Issues-RehabPsy","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","26","4.000","80.8",".",".",".",".",".",".",".",".",".",".","19.2",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
