"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","","19","3.289","36.8","26.3","5.3","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"","160
002","","20","2.975","25.0","15.0","30.0","10.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","160
004","","15","3.750","66.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".","."
"Architectural Graphics","Course Total","","54","3.292","40.7","18.5","14.8","13.0","9.3",".","1.9",".",".",".",".",".",".","1.9",".","."
"","170
001","","21","3.524","42.9","33.3","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","170
002","","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","","20","3.375","50.0","35.0",".",".","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","","59","3.517","47.5","33.9","10.2","1.7","3.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","","109","3.124","28.4","25.7","13.8","19.3","7.3","4.6","0.9",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","001
232","","90","2.921","13.3","24.4","32.2","13.3","8.9","2.2","4.4",".",".",".",".",".",".",".","1.1","."
"","240
001","","20","2.800","20.0","20.0","15.0","30.0",".","10.0","5.0",".",".",".",".",".",".",".",".","."
"","240
002","","17","2.647","17.6","23.5","11.8","11.8","17.6","11.8","5.9",".",".",".",".",".",".",".",".","."
"","240
003","","20","2.825","10.0","35.0","20.0",".","25.0","10.0",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","57","2.763","15.8","26.3","15.8","14.0","14.0","10.5","3.5",".",".",".",".",".",".",".",".","."
"Pictorial Graphics","262
001","","17","2.882","23.5","29.4","11.8","17.6","5.9",".","11.8",".",".",".",".",".",".",".",".","."
"","291
006","","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","291
050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","","10","3.100","20.0","20.0","40.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","306
001","","15","3.100","26.7","26.7","13.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","306
002","","13","2.833","30.8",".","15.4","30.8","7.7",".","7.7","7.7",".",".",".",".",".",".",".","."
"","306
003","","15","2.967","20.0","20.0","20.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".","."
"","306
004","","13","3.154","23.1","30.8","23.1",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"","005
306","","9","3.111","22.2",".","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","","65","3.031","24.6","16.9","24.6","13.8","15.4","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"","307
001","","14","3.464","28.6","50.0","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","15","3.200","20.0","13.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","","10","3.150","30.0","30.0","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"","307
004","","8","2.938","25.0",".","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","307
005","","18","3.111","27.8","5.6","38.9","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
006","","10","3.100","10.0","30.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","75","3.180","24.0","21.3","33.3","9.3","12.0",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","33","3.015","9.1","30.3","30.3","21.2","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"","313
002","","34","3.132","14.7","29.4","29.4","20.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","23","3.130","8.7","34.8","43.5",".","13.0",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","","90","3.089","11.1","31.1","33.3","15.6","7.8","1.1",".",".",".",".",".",".",".",".",".","."
"","314
001","","34","3.265","14.7","38.2","35.3","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"","314
002","","35","2.900",".","25.7","51.4","11.4","8.6",".","2.9",".",".",".",".",".",".",".",".","."
"","314
003","","28","2.982","3.6","46.4","17.9","14.3","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","","97","3.052","6.2","36.1","36.1","11.3","8.2","1.0","1.0",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","001
340","","78","2.641","10.3","20.5","17.9","23.1","17.9","3.8","6.4",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","","84","2.583","7.1","11.9","21.4","23.8","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"","349
002","","16","3.313","37.5","25.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","349
003","","15","2.700",".",".","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 130 of 373",""
