"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.400","35.0","35.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002","16","3.688","50.0","43.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","18","3.556","38.9","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","004
101","19","3.447","31.6","52.6","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","101
005","17","3.324","29.4","29.4","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
006","20","3.675","65.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","19","3.737","68.4","10.5","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.842","70.0","20.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","101
010","22","3.619","45.5","27.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".","4.5"
"","101
011","17","3.563","47.1","29.4","5.9","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","012
101","16","3.321","31.3","18.8","18.8","12.5","6.3",".",".","6.3",".",".",".",".",".",".","6.3","."
"First Semester French","Course Total","204","3.568","47.1","28.9","12.7","6.4","2.0","0.5",".","1.5",".",".",".",".",".",".","0.5","0.5"
"","102
001","21","3.024","19.0","14.3","42.9","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.475","35.0","40.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
102","18","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
005","21","3.225","23.8","38.1","4.8","14.3","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"","102
006","20","3.225","25.0","30.0","25.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","102
008","22","3.500","50.0","18.2","9.1","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","010
102","18","3.094","38.9","5.6","27.8",".","5.6","5.6","5.6","11.1",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","140","3.272","32.1","25.7","19.3","8.6","9.3","1.4","0.7","2.9",".",".",".",".",".",".",".","."
"First Sem French Honors","181
001","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Sem French Honors","182
001","11","3.650","36.4","45.5","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".","."
"","203
001","26","3.680","50.0","38.5","3.8",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"","203
003","17","3.559","47.1","17.6","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","21","3.357","23.8","38.1","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","005
203","22","3.386","40.9","18.2","31.8","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","006
203","24","3.563","58.3","20.8","16.7",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","203
007","21","3.595","57.1","33.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","203
008","17","3.294","23.5","29.4","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
009","24","3.542","41.7","33.3","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","011
203","17","3.500","35.3","41.2","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
013","19","3.658","52.6","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
014","23","3.413","34.8","26.1","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","231","3.509","42.9","29.9","20.3","3.0","2.2","0.4","0.9","0.4",".",".",".",".",".",".",".","."
"","204
001","20","3.425","30.0","35.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
002","22","3.545","45.5","27.3","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","204
004","22","3.477","31.8","40.9","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","204
007","25","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
010","25","3.520","32.0","40.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
011","23","3.435","30.4","34.8","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
012","23","3.587","39.1","39.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
013","14","3.464","35.7","21.4","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","174","3.468","32.8","32.8","31.0","2.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"","227
001","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
003","23","3.636","47.8","26.1","21.7",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 202 of 373",""
