"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"437","001","","60","3.808","71.7","20.0","6.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"437","002","","46","3.739","65.2","23.9","4.3","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Phy&Occ Ther","Course Total","","106","3.778","68.9","21.7","5.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"710
Histology and Organology","001","","144","3.785","79.9",".","18.8",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"711
Gross Human Anatomy","001","","114","3.535","57.9",".","39.5",".","1.8",".","0.9",".",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"999","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
