"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","","36","2.750","11.1","30.6","8.3","13.9","30.6","2.8","2.8",".",".",".",".",".",".",".",".","."
"","211
003","","25","2.600","8.0","16.0","8.0","40.0","24.0",".","4.0",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","61","2.689","9.8","24.6","8.2","24.6","27.9","1.6","3.3",".",".",".",".",".",".",".",".","."
"","250
001","","32","2.726","6.3","12.5","34.4","28.1","6.3","9.4",".","3.1",".",".",".",".",".",".",".","."
"","250
002","","28","2.714","7.1","17.9","28.6","25.0","14.3","3.6","3.6",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","60","2.720","6.7","15.0","31.7","26.7","10.0","6.7","1.7","1.7",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","001
311","","56","2.759","17.9","12.5","30.4","14.3","12.5","8.9","3.6",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","001
320","","66","2.811","15.2","16.7","19.7","24.2","19.7","3.0","1.5",".",".",".",".",".",".",".",".","."
"","324
002","","14","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
324","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
005","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","50","3.500","32.0","40.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","001
326","","66","2.871","15.2","16.7","33.3","9.1","21.2","3.0","1.5",".",".",".",".",".",".",".",".","."
"Applied Electrochemistry","400
001","","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","54","3.065","29.6","18.5","24.1","5.6","14.8","7.4",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","59","3.241","28.8","15.3","37.3","8.5","8.5",".",".","1.7",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","56","3.098","16.1","21.4","39.3","12.5","10.7",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","29","3.155","24.1","31.0","13.8","13.8","17.2",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","37","2.986","13.5","27.0","27.0","18.9","8.1","5.4",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","001
540","","52","2.913","17.3","15.4","25.0","25.0","13.5","3.8",".",".",".",".",".",".",".",".",".","."
"Plastics & High Polymer Lab","541
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Processing-Electronic Matls","544
001","","14","3.125","7.1","35.7","14.3","28.6",".",".",".","7.1",".",".",".",".",".",".",".","7.1"
"Biochemical Engineering","001
560","","21","3.000","14.3","9.5","42.9","19.0","9.5",".",".",".",".",".",".",".",".",".","4.8","."
"","562
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
002","","6","3.417","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","562
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","16","3.576","75.0","6.3",".","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","001
567","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","020
599","","6","3.857","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","24","3.969","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
