"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","112
037","35","2.086","14.3","2.9","11.4","2.9","42.9","14.3","11.4",".",".",".",".",".",".",".",".","."
"","038
112","19","2.368","5.3","5.3","26.3","15.8","31.6","15.8",".",".",".",".",".",".",".",".",".","."
"","112
040","27","2.204","7.4","7.4","22.2","11.1","25.9","18.5","7.4",".",".",".",".",".",".",".",".","."
"","112
041","21","1.714","9.5",".","14.3",".","33.3","23.8","19.0",".",".",".",".",".",".",".",".","."
"","112
042","27","2.148","7.4","7.4","11.1","7.4","44.4","18.5","3.7",".",".",".",".",".",".",".",".","."
"","112
044","15","2.233","6.7",".","26.7","6.7","46.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","112
045","25","2.240","8.0","8.0","8.0","24.0","36.0","8.0","8.0",".",".",".",".",".",".",".",".","."
"","112
046","19","2.553","10.5","5.3","26.3","21.1","31.6",".","5.3",".",".",".",".",".",".",".",".","."
"","112
047","22","2.159","9.1",".","13.6","13.6","45.5","13.6","4.5",".",".",".",".",".",".",".",".","."
"","112
048","27","1.870","7.4",".","14.8","3.7","37.0","29.6","7.4",".",".",".",".",".",".",".",".","."
"","049
112","23","2.182","4.3","8.7","34.8",".","17.4","21.7","8.7",".",".",".",".",".",".","4.3",".","."
"","112
052","19","2.368","15.8",".","31.6","10.5","21.1","10.5","10.5",".",".",".",".",".",".",".",".","."
"","112
053","17","2.441","5.9","23.5","23.5","5.9","23.5","5.9","11.8",".",".",".",".",".",".",".",".","."
"","112
054","17","2.500","23.5","5.9","11.8","11.8","35.3",".","11.8",".",".",".",".",".",".",".",".","."
"","112
055","21","2.619","23.8","4.8","23.8","4.8","28.6","9.5","4.8",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","1076","2.249","10.6","6.1","18.1","9.2","35.1","13.2","7.5",".",".",".",".",".",".","0.1",".","."
"","001
113","14","1.964","14.3",".",".","21.4","28.6","28.6","7.1",".",".",".",".",".",".",".",".","."
"","004
113","15","1.733",".",".","40.0",".","20.0","13.3","26.7",".",".",".",".",".",".",".",".","."
"","005
113","15","2.167","6.7","6.7","33.3",".","26.7","13.3","13.3",".",".",".",".",".",".",".",".","."
"","006
113","32","2.609","21.9","6.3","28.1","3.1","18.8","21.9",".",".",".",".",".",".",".",".",".","."
"","113
010","31","2.839","19.4","9.7","32.3","9.7","22.6","6.5",".",".",".",".",".",".",".",".",".","."
"","011
113","38","2.566","15.8","5.3","26.3","13.2","28.9","5.3","5.3",".",".",".",".",".",".",".",".","."
"","113
012","15","2.400","20.0",".","33.3",".","26.7","6.7","13.3",".",".",".",".",".",".",".",".","."
"","013
113","15","2.867","33.3","6.7","20.0","6.7","20.0","13.3",".",".",".",".",".",".",".",".",".","."
"","113
014","17","2.529","17.6","5.9","23.5","5.9","29.4","17.6",".",".",".",".",".",".",".",".",".","."
"","015
113","26","2.720","19.2","7.7","23.1","7.7","34.6",".","3.8",".",".",".",".",".",".","3.8",".","."
"","113
016","33","2.500","12.1","12.1","36.4","3.0","18.2","6.1","12.1",".",".",".",".",".",".",".",".","."
"","017
113","33","2.758","18.2","12.1","24.2","6.1","33.3","6.1",".",".",".",".",".",".",".",".",".","."
"","018
113","15","1.867","13.3","6.7",".","20.0","26.7","6.7","26.7",".",".",".",".",".",".",".",".","."
"","113
019","17","2.471","17.6",".","35.3","11.8","5.9","29.4",".",".",".",".",".",".",".",".",".","."
"","113
020","10","1.850","10.0","10.0",".",".","40.0","30.0","10.0",".",".",".",".",".",".",".",".","."
"","021
113","14","1.750","7.1",".","28.6","7.1","14.3","14.3","28.6",".",".",".",".",".",".",".",".","."
"","022
113","16","2.875","37.5",".","31.3",".","18.8","6.3","6.3",".",".",".",".",".",".",".",".","."
"","023
113","16","2.844","25.0","6.3","31.3",".","31.3","6.3",".",".",".",".",".",".",".",".",".","."
"","026
113","15","2.933","33.3","13.3","13.3","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","027
113","36","2.431","5.6","5.6","30.6","13.9","30.6","13.9",".",".",".",".",".",".",".",".",".","."
"","113
028","18","2.917","16.7","16.7","38.9",".","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","113
029","18","3.294","27.8","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".","5.6",".","."
"","113
030","13","2.375","7.7","7.7","30.8",".","30.8","7.7","7.7",".",".",".",".",".",".","7.7",".","."
"","113
032","16","1.938",".","6.3","18.8","6.3","50.0",".","18.8",".",".",".",".",".",".",".",".","."
"","033
113","19","2.921","21.1","21.1","31.6","5.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".","."
"","034
113","17","1.824","5.9",".","23.5",".","17.6","52.9",".",".",".",".",".",".",".",".",".","."
"","113
037","13","3.077","30.8",".","53.8",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","113
038","16","2.563","12.5",".","37.5","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"","040
113","15","2.500","20.0","6.7","40.0",".","6.7","13.3","13.3",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","568","2.527","16.7","7.6","27.6","6.3","23.8","11.6","5.8",".",".",".",".",".",".","0.5",".","."
