"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
002","","18","3.750","61.1","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","20","3.450","35.0","35.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
100","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","12","3.292","16.7","41.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","10","3.450","60.0","10.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","100
008","","9","3.278","11.1","33.3","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","81","3.525","42.0","33.3","16.0","4.9","3.7",".",".",".",".",".",".",".",".",".",".","."
"","111
001","","20","3.125","35.0","5.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","111
002","","21","3.675","57.1","23.8","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","4.8"
"Sci&Technology Newswriting","Course Total","","41","3.400","46.3","14.6","19.5","4.9","12.2",".",".",".",".",".",".",".",".",".",".","2.4"
"Family & Consumer Newswrtg","130
001","","6","2.917","33.3",".","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","18","3.194","16.7","22.2","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","13","3.269","15.4","38.5","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","212
003","","17","3.176","29.4","11.8","35.3","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientif/Business Com","Course Total","","48","3.208","20.8","22.9","39.6","10.4","6.3",".",".",".",".",".",".",".",".",".",".","."
"","299
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","029
299","","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.765","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","12","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Family","376
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Consumer Investgtv Reportng","430
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","","14","3.269","35.7","14.3","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","7.1"
"Publicity Media and Methods","515
001","","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Publicatn,Illustratn&Layout","530
001","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","","13","3.423","38.5","23.1","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","617
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","617
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.938","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
