"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201
001","64","3.172","14.1","35.9","29.7","12.5","4.7","3.1",".",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205
001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran:Fr&It Jewish Wrtrs","210
001","18","3.361","33.3","22.2","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Islamic Myst Poetry in Tran","217
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chekhov in Translation","220
001","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222
001","44","3.452","34.1","31.8","18.2","9.1","2.3",".",".","2.3",".",".",".",".",".",".",".","2.3"
"Lit & Culture-Eastrn Europe","241
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Trn:Fr Wom Writers Today","251
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253
001","21","3.275","33.3","19.0","33.3","4.8",".",".","4.8",".",".",".",".",".",".",".","4.8","."
"Lit:Image-Indiv Ital Renais","001
256","24","2.938","12.5","20.8","33.3","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261
001","35","3.300","31.4","31.4","20.0","5.7","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263
001","32","3.032","12.5","28.1","18.8","28.1","9.4",".",".","3.1",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271
001","134","2.988","6.7","31.3","33.6","18.7","6.0","1.5","2.2",".",".",".",".",".",".",".",".","."
"Areas-Scand Lit in English","311
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","11","3.338","63.6","9.1","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"In Trans:Woman in Scand Lit","343
001","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","361
001","14","2.964","14.3","14.3","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367
001","17","2.882","29.4","5.9","29.4","5.9","17.6","11.8",".",".",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","379
001","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mod Serb&Croat Lit in Trans","455
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol Lit(Tran) Mid Ages-1863","471
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","498","3.211","24.1","29.1","25.3","12.4","5.2","1.6","1.0","0.4",".",".",".",".",".","0.4","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","117","3.165","14.5","34.2","31.6","15.4","2.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"Sophomore","","137","3.052","13.1","30.7","25.5","20.4","5.8","2.9","0.7",".",".",".",".",".",".",".",".","0.7"
"Junior","","102","3.286","34.3","22.5","27.5","3.9","5.9","2.0","2.0","1.0",".",".",".",".",".","1.0",".","."
"Senior","","128","3.345","32.0","30.5","20.3","9.4","6.3",".","0.8",".",".",".",".",".",".","0.8",".","."
"Undergraduates","","484","3.203","22.9","29.8","26.0","12.8","5.2","1.4","1.0","0.2",".",".",".",".",".","0.4",".","0.2"
"Special","","10","3.313","50.0","10.0",".",".","10.0","10.0",".","10.0",".",".",".",".",".",".","10.0","."
"Graduate","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","498","3.211","24.1","29.1","25.3","12.4","5.2","1.6","1.0","0.4",".",".",".",".",".","0.4","0.2","0.2"
