"GEOGRAPHY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","","72","2.743","9.7","16.7","30.6","16.7","16.7","2.8","4.2",".",".",".",".",".",".","2.8",".","."
"","120","001","","112","3.027","19.6","25.9","24.1","11.6","12.5","4.5","0.9",".",".",".",".",".",".","0.9",".","."
"","120","002","","101","2.835","13.9","17.8","28.7","16.8","13.9","6.9","1.0",".",".",".",".",".",".","1.0",".","."
"Global Phys Environments","","Course Total","","213","2.936","16.9","22.1","26.3","14.1","13.1","5.6","0.9",".",".",".",".",".",".","0.9",".","."
"Atmspherc Envirnmnt&Society","121","001","","45","3.189","28.9","24.4","24.4","8.9","11.1",".","2.2",".",".",".",".",".",".",".",".","."
"","127","001","","151","2.788","9.9","19.2","25.8","17.9","23.8","2.0","1.3",".",".",".",".",".",".",".",".","."
"","127","002","","180","2.867","11.7","22.2","26.1","16.7","20.6","1.1","1.7",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","","331","2.831","10.9","20.8","26.0","17.2","22.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"World Regions:Concept&Probs","140","001","","46","2.641","13.0","23.9","17.4","13.0","19.6","4.3","8.7",".",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","","36","3.083","25.0","16.7","36.1","16.7",".",".","5.6",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","","18","2.972","16.7","27.8","16.7","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","","26","2.735","15.4",".","42.3","7.7","23.1","7.7",".",".",".",".",".",".",".","3.8",".","."
"SE Asia:Vietnam to Philipns","244","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","12","2.792","16.7","8.3","41.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","","53","2.863","13.2","9.4","37.7","9.4","26.4",".",".","3.8",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","","29","2.759","24.1","20.7","13.8","6.9","20.7","6.9","6.9",".",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","","26","2.760","15.4","15.4","30.8","7.7","15.4","7.7","3.8",".",".",".",".",".",".",".","3.8","."
"Envrnmntl Eval & Adaptation","319","001","","28","3.423","35.7","25.0","21.4","3.6","7.1",".",".","3.6",".",".",".",".",".","3.6",".","."
"Analysis of Physical Envr","325","001","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","","13","3.269","30.8","15.4","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Our Hazardous Environment","336","001","","56","2.928","21.4","12.5","25.0","26.8","7.1","1.8","3.6","1.8",".",".",".",".",".",".",".","."
"","339","001","","60","2.508","11.7","11.7","16.7","16.7","28.3","15.0",".",".",".",".",".",".",".",".",".","."
"","339","002","","52","2.431","13.5","13.5","15.4","9.6","26.9","13.5","5.8","1.9",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","","112","2.473","12.5","12.5","16.1","13.4","27.7","14.3","2.7","0.9",".",".",".",".",".",".",".","."
"Europe","349","001","","25","3.208","32.0","16.0","20.0","16.0","12.0",".",".","4.0",".",".",".",".",".",".",".","."
"China and Southeast Asia","358","001","","21","2.976","19.0","19.0","33.3","14.3","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","","17","2.794","29.4","11.8","23.5","5.9","17.6",".","11.8",".",".",".",".",".",".",".",".","."
"","365","001","","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","365","002","","10","2.950","10.0","20.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","","Course Total","","23","3.457","56.5","8.7","13.0","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","","45","3.011","24.4","13.3","35.6","11.1","11.1",".","4.4",".",".",".",".",".",".",".",".","."
"Intro-Computer Cartography","375","001","","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","25","3.087","28.0","28.0","16.0","4.0","4.0","8.0","4.0","8.0",".",".",".",".",".",".",".","."
"Ldscap&Settlmt-N Amer Past","508","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmnt&Quality of Life","519","001","","48","3.130","27.1","20.8","22.9","12.5","8.3","2.1","2.1","4.2",".",".",".",".",".",".",".","."
"The Quaternary Period","527","001","","18","3.472","55.6","22.2","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"Envr Geog&Cnsrv-Devlp Cntry","535","001","","22","3.429","45.5","9.1","27.3","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Am Wlderness-Percpt&Preserv","536","001","","48","3.511","56.3","12.5","14.6","12.5",".",".","2.1","2.1",".",".",".",".",".",".",".","."
"Russia&CIS:Probs-Human Geog","553","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Cartography","577","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Geography","675","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
