"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","107","2.547","18.7","15.9","18.7","9.3","16.8","11.2","9.3",".",".",".",".",".",".",".",".","."
"","002
201","113","2.544","15.9","19.5","22.1","8.0","11.5","13.3","9.7",".",".",".",".",".",".",".",".","."
"Statics","Course Total","220","2.545","17.3","17.7","20.5","8.6","14.1","12.3","9.5",".",".",".",".",".",".",".",".","."
"","202
001","15","2.633","13.3","6.7","13.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".","."
"","202
002","19","2.316","15.8",".","10.5","10.5","47.4","15.8",".",".",".",".",".",".",".",".",".","."
"","202
003","22","2.500","4.5","18.2","9.1","18.2","45.5","4.5",".",".",".",".",".",".",".",".",".","."
"","202
004","20","2.575","10.0","15.0","20.0","30.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","202
005","7","2.214",".","14.3","28.6",".","42.9",".","14.3",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","83","2.476","9.6","10.8","14.5","19.3","36.1","7.2","2.4",".",".",".",".",".",".",".",".","."
"","001
214","11","2.909","18.2","36.4","18.2",".","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"","002
214","9","2.833","22.2","11.1","11.1","44.4",".","11.1",".",".",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","Course Total","20","2.875","20.0","25.0","15.0","20.0","5.0","15.0",".",".",".",".",".",".",".",".",".","."
"","221
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamics","Course Total","10","2.150","10.0","20.0",".","10.0","40.0",".","20.0",".",".",".",".",".",".",".",".","."
"","303
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","5","***","","","","","","","","","","","","","","","",""
"","304
001","20","2.725","15.0","5.0","35.0","10.0","30.0","5.0",".",".",".",".",".",".",".",".",".","."
"","304
002","10","3.150","50.0",".","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","304
003","20","2.500","10.0","5.0","35.0","15.0","25.0",".","10.0",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","50","2.720","20.0","4.0","32.0","12.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","001
306","6","2.417","16.7","16.7","16.7",".","16.7","33.3",".",".",".",".",".",".",".",".",".","."
"","306
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
004","6","2.417","16.7","16.7","16.7",".","33.3",".","16.7",".",".",".",".",".",".",".",".","."
"","306
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","20","2.700","20.0","10.0","35.0",".","20.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","307
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","15","2.767","20.0","13.3","33.3","20.0",".",".","13.3",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","13","3.192","38.5","15.4","30.8","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","001
469","9","3.000","22.2","22.2","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"","469
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Probs in Engineering","Course Total","13","2.962","23.1","23.1","15.4","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Experimental Stress Anal","510
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fatigue of Engr Materials","518
001","9","3.222","33.3","11.1","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","19","2.944","10.5","21.1","36.8",".","26.3",".",".","5.3",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 123 of 373",""
