"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Consumer Finance","275
001","48","3.125","25.0","12.5","37.5","16.7","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","16","3.281","12.5","43.8","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470
001","27","3.037","3.7","25.9","44.4","25.9",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","30","3.233","10.0","40.0","36.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
001","22","3.250","27.3","22.7","45.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","25","3.560","56.0","24.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Direct Retailing","561
001","16","3.563","43.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Retailing","562
001","12","3.050","16.7","25.0","16.7","16.7",".","8.3",".","16.7",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","18","3.306","27.8","38.9","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","17","3.712","64.7","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","16","3.500","50.0","18.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","45","2.822","15.6","13.3","24.4","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","699
003","18","3.361","61.1","16.7","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","19","3.452","63.2","15.8","10.5",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"Research and Thesis","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"CNSR SCI
271","Dept. Total","326","3.255","29.8","23.9","27.0","11.7","3.4","1.8","1.2","0.6",".","0.3",".",".",".",".",".","0.3"
