"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","127","3.194","26.0","27.6","16.5","20.5","7.1","1.6",".",".",".",".",".",".",".",".",".","0.8"
"","300
002","127","3.390","37.0","23.6","24.4","11.8","2.4","0.8",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","254","3.292","31.5","25.6","20.5","16.1","4.7","1.2",".",".",".",".",".",".",".",".",".","0.4"
"Intermediate Bus Statistics","301
001","79","3.128","21.5","26.6","25.3","11.4","11.4","2.5",".","1.3",".",".",".",".",".",".",".","."
"Operations Research-Mgt","312
001","29","3.321","27.6","31.0","24.1","3.4","10.3",".",".","3.4",".",".",".",".",".",".",".","."
"Managerial Economics","330
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
001","107","3.126","12.1","27.1","39.3","18.7","1.9","0.9",".",".",".",".",".",".",".",".",".","."
"","350
002","63","3.357","27.0","39.7","20.6","3.2","9.5",".",".",".",".",".",".",".",".",".",".","."
"","003
350","99","3.291","20.2","32.3","33.3","11.1","2.0",".",".","1.0",".",".",".",".",".",".",".","."
"","350
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","272","3.247","19.1","32.0","32.4","12.1","3.7","0.4",".","0.4",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","8","3.188","12.5","12.5","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","2","***","","","","","","","","","","","","","","","",""
"Operations Research I","410
001","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","46","3.489","30.4","37.0","32.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","31","3.758","64.5","25.8","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","77","3.597","44.2","32.5","22.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Statistical Methods I","001
701","48","3.543","29.2","47.9","20.8",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Operations Research I","710
001","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
002","37","3.392","32.4","27.0","27.0","13.5",".",".",".",".",".",".",".",".",".",".",".","."
"","730
003","29","3.286","20.7","24.1","41.4","10.3",".",".",".","3.4",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","84","3.410","29.8","31.0","28.6","9.5",".",".",".","1.2",".",".",".",".",".",".",".","."
"","001
750","31","3.567","41.9","25.8","29.0",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"","750
002","27","3.537","40.7","29.6","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","58","3.553","41.4","27.6","27.6","1.7",".",".",".",".",".",".",".",".",".",".","1.7","."
"Intl Operations: Probs&Adm","755
001","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech Change-Mfg Syst","758
001","18","3.441","16.7","50.0","27.8",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","31","3.790","58.1","41.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"Strategc Managemt&Qual Plan","861
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 63 of 373"
