"L&S","","","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","5470","3.016","28.9","11.4","28.6","7.1","17.0","3.5","1.7","1.3","",".",".","",".","0.3","",".","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2252","3.013","26.6","10.1","33.4","7.2","18.4","2.8","1.3",".","",".",".","",".",".","",".","0.1",".","0.0"
"Sophomore","","1178","2.845","21.6","10.7","28.9","7.4","24.1","5.3","1.9",".","",".",".","",".",".","",".","0.1",".","."
"Junior","","810","2.887","25.8","13.0","28.5","8.6","16.3","4.9","2.6",".","",".",".","",".",".","",".","0.1",".","0.1"
"Senior","","666","2.973","29.7","17.0","24.3","9.0","14.0","3.8","1.8","0.2","",".",".","",".","0.2","",".","0.2",".","."
"Undergraduates","","4906","2.952","25.7","11.7","30.3","7.7","18.8","3.9","1.7","0.0","",".",".","",".","0.0","",".","0.1",".","0.0"
"Special","","66","3.043","37.9","7.6","25.8","7.6","9.1",".","9.1","1.5","",".",".","",".",".","",".","1.5",".","."
"Graduate","","619","3.793","55.9","6.8","10.2","0.8","0.3",".",".","22.9","",".",".","",".","2.4","",".",".","0.6","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","4","3.500",".","50.0",".",".",".",".",".","50.0","",".",".","",".",".","",".",".",".","."
"Professionals","","5","3.318",".","40.0","20.0",".",".",".",".","40.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","5596","3.016","29.2","11.1","28.0","7.0","16.6","3.4","1.6","2.6","",".",".","",".","0.3","",".","0.1","0.1","0.0"
