"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","153","3.500","45.1","15.0","29.4","3.3","2.0","0.7",".","3.9","0.7",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","58","3.214","29.3","17.2","34.5","6.9","5.2","1.7","1.7","3.4",".",".",".",".",".",".",".","."
"The Symphony","106
001","","77","3.136","29.9","13.0","32.5","6.5","16.9","1.3",".",".",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","16","",".",".",".",".",".",".",".","12.5",".","81.3","6.3",".",".",".",".","."
"Music in Performance","113
001","","543","3.777","71.1","6.1","12.3","1.3","1.7",".",".","7.2",".",".",".",".",".",".","0.2","0.2"
"","121
001","","24","3.000","16.7","25.0","33.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","121
002","","29","3.121","44.8","31.0","3.4",".","3.4","6.9","10.3",".",".",".",".",".",".",".",".","."
"1st Year Theory","Course Total","","53","3.066","32.1","28.3","17.0","3.8","5.7","7.5","5.7",".",".",".",".",".",".",".",".","."
"","131
001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","131
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Music Theory","Course Total","","41","3.963","95.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","21","3.595","57.1","14.3","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","","260","3.308","28.5","30.8","18.1","12.3","7.7",".",".","2.7",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","","52","3.010","17.3","32.7","13.5","19.2","9.6","3.8","1.9","1.9",".",".",".",".",".",".",".","."
"","221
001","","29","3.155","34.5","17.2","17.2","13.8","13.8","3.4",".",".",".",".",".",".",".",".",".","."
"","221
002","","26","3.269","38.5","15.4","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"2nd Year Theory","Course Total","","55","3.209","36.4","16.4","20.0","10.9","14.5","1.8",".",".",".",".",".",".",".",".",".","."
"","253
001","","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","24","3.688","62.5","16.7","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","001
257","","11","3.960","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Black Music Ensemble","266
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","268
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
