"EGR","","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"532
Foundations","002","","52","3.346","19.2","40.4","30.8","9.6",".",".",".",".",".",".",".",".",".",".",".","."
"533
Waste Geotechnics","001","","26","2.520","11.5",".","30.8",".","50.0","3.8",".","3.8",".",".",".",".",".",".",".","."
"571
Urban Transport Planning","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Geometric Dsgn-Transprt Fac","001","","7","3.286","14.3","57.1",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"575
Adv Highway Matl&Constructn","001","","25","3.646","52.0","24.0","16.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"579
Seminar-Transportation Engr","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618
Topic-Hydraulics&Fluid Mech","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"619
Special Topics in Hydrology","001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"624
Cost Engr-Water Pollut Cntl","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"639
Topics-Geotechnical Engr","001","","10","3.400","50.0","20.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"649
Specl Topic-Structural Engr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Engr Appl-Land&Geog Inf Sys","001","","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Topic-Transprtatn&City Plan","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"698","001","","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"698","002","","23","3.577","52.2","8.7","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","004","","15","3.583","26.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","20.0"
"Topics:Constructn Engr&Mgmt","Course Total","","45","3.580","40.0","24.4","26.7",".",".",".",".","2.2",".",".",".",".",".",".",".","6.7"
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.773","68.8","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"700
Chemistry of Natural Waters","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Soil Dynamics","001","","7","3.167",".","28.6","57.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"749
Spec Topics-Structural Engr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
