"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"100","001","","127","2.720","19.7","6.3","32.3","9.4","20.5","5.5","4.7",".",".",".",".",".",".","1.6",".","."
"100","002","","67","2.560","13.4","13.4","29.9","9.0","17.9","7.5","9.0",".",".",".",".",".",".",".",".","."
"100","003","","109","2.690","7.3","11.9","34.9","7.3","35.8","0.9","0.9",".","0.9",".",".",".",".",".",".","."
"100","004","","63","2.750","19.0","7.9","28.6",".","38.1","4.8",".","1.6",".",".",".",".",".",".",".","."
"Survey of Astronomy","Course Total","","366","2.686","14.8","9.6","32.0","7.1","27.6","4.4","3.6","0.3","0.3",".",".",".",".","0.5",".","."
"140
Topics-Solar System Astron","001","","55","2.537","14.5",".","30.9",".","45.5","7.3",".","1.8",".",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","8","3.000","12.5","12.5","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"460
Experience-Astronom Observ","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Astrodynamics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"700
Basic Astrophysics","001","","7","3.591","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","4.000","18.2",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","."
