"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","405","2.900","14.3","14.1","34.1","20.0","15.1","1.2","1.2",".",".",".",".",".",".",".",".","."
"","101
002","445","3.022","17.8","18.2","31.7","17.5","11.9","0.7","0.9","0.9",".",".",".",".",".","0.4",".","."
"","101
003","392","2.485","11.0","5.9","23.5","13.5","35.2","8.9","1.8",".",".",".",".",".",".",".","0.3","."
"","101
004","252","2.563","11.1","5.2","23.4","18.7","34.1","6.7",".","0.8",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1494","2.770","13.9","11.6","28.8","17.3","22.6","4.0","1.1","0.4",".",".",".",".",".","0.1","0.1","."
"","102
001","190","2.695","11.6","18.4","21.1","19.5","21.6","3.7","4.2",".",".",".",".",".",".",".",".","."
"","102
002","225","2.655","11.1","20.4","18.2","20.9","15.6","8.0","4.4","0.9",".",".",".",".",".","0.4",".","."
"","102
003","197","2.855","14.7","13.2","34.5","16.8","15.7","3.6","1.5",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","612","2.732","12.4","17.5","24.3","19.1","17.5","5.2","3.4","0.3",".",".",".",".",".","0.2",".","."
"","111
001","31","3.532","48.4","22.6","22.6",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"","002
111","38","3.303","34.2","26.3","15.8","13.2","10.5",".",".",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","Course Total","69","3.406","40.6","24.6","18.8","7.2","8.7",".",".",".",".",".",".",".",".",".",".","."
"Economics of Black America","261
001","22","2.583","13.6","4.5","18.2","9.1","31.8",".","4.5","18.2",".",".",".",".",".",".",".","."
"","300
001","16","3.406","50.0",".","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","300
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
300","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","24","3.438","45.8","12.5","29.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","301
001","53","2.829","20.8","9.4","22.6","9.4","15.1","3.8","3.8","13.2","1.9",".",".",".",".",".",".","."
"","002
301","73","2.578","15.1","9.6","17.8","15.1","31.5","8.2","1.4","1.4",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","126","2.673","17.5","9.5","19.8","12.7","24.6","6.3","2.4","6.3","0.8",".",".",".",".",".",".","."
"","001
302","72","2.833","29.2","5.6","26.4","5.6","22.2","4.2","4.2","2.8",".",".",".",".",".",".",".","."
"","302
002","63","2.994","27.0","12.7","31.7","7.9","15.9","1.6","3.2",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","135","2.909","28.1","8.9","28.9","6.7","19.3","3.0","3.7","1.5",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","30","2.833","6.7","10.0","33.3","43.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","45","2.478","11.1","15.6","13.3","17.8","28.9","6.7","6.7",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Math Trtmt","311
001","15","3.192","33.3","20.0","13.3",".","13.3","6.7",".","13.3",".",".",".",".",".",".",".","."
"Labor Problems","315
001","44","2.865","13.6","13.6","27.3","18.2","25.0",".",".",".",".",".",".",".",".","2.3",".","."
"Investments","320
001","9","2.667",".","11.1","44.4","11.1","33.3",".",".",".",".",".",".",".",".",".",".","."
"","325
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","325
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","8","3.071","25.0","12.5","25.0",".","25.0",".",".","12.5",".",".",".",".",".",".",".","."
"Money and Banking","330
001","100","2.827","9.0","27.0","27.0","15.0","14.0","6.0","2.0",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","47","2.944","19.1","12.8","31.9","12.8","14.9","4.3",".","4.3",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","94","3.043","20.2","21.3","29.8","16.0","9.6","2.1","1.1",".",".",".",".",".",".",".",".","."
"","390
001","66","2.860","16.7","7.6","42.4","10.6","18.2","3.0","1.5",".",".",".",".",".",".",".",".","."
"","390
005","25","3.042","20.0","20.0","28.0","4.0","24.0",".",".","4.0",".",".",".",".",".",".",".","."
"Contemporary Economic Issue","Course Total","91","2.910","17.6","11.0","38.5","8.8","19.8","2.2","1.1","1.1",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","25","2.626","24.0","12.0","24.0","12.0","8.0","8.0","12.0",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","15","3.467","53.3","13.3","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","001
431","12","3.083","33.3","33.3","8.3",".","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","12","3.417","25.0","50.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Collect Bargaing&Pub Policy","453
001","21","3.262","42.9","19.0",".","23.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","22","2.776","27.3",".","27.3",".","40.9","4.5",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 190 of 373",""
