"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"","120
001","51","2.840","9.8","21.6","21.6","25.5","15.7","3.9",".",".",".",".",".",".",".","2.0",".","."
"","120
002","69","2.851","11.6","14.5","31.9","23.2","10.1","5.8",".","2.9",".",".",".",".",".",".",".","."
"","003
120","67","3.143","14.9","26.9","28.4","17.9","6.0",".",".","3.0",".",".",".",".",".","3.0",".","."
"Science of Food","Course Total","187","2.950","12.3","20.9","27.8","21.9","10.2","3.2",".","2.1",".",".",".",".",".","1.6",".","."
"Prof-Dietetics&Foodserv Adm","200
001","27","",".",".",".",".",".",".",".","3.7",".","96.3",".",".",".",".",".","."
"Nature of Food","235
001","67","3.007","28.4","7.5","40.3","3.0","16.4",".","4.5",".",".",".",".",".",".",".",".","."
"","236
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","35","3.714","57.1","31.4","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","3.700","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Analysis of Food Products","310
001","53","3.009","18.9","9.4","41.5","15.1","15.1",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","17","3.794","70.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","36","3.375","27.8","30.6","30.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","25","3.560","44.0","28.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Service Operations","437
001","46","3.659","54.3","30.4","4.3","4.3",".","2.2",".","4.3",".",".",".",".",".",".",".","."
"","438
001","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","438
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","33","3.939","97.0",".",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Food Serv Operations CUP","439
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Engr","440
001","26","2.731","15.4",".","38.5","15.4","26.9","3.8",".",".",".",".",".",".",".",".",".","."
"Principles of Food Chem-Lab","512
001","29","3.052","13.8","27.6","31.0","17.2","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Food Processing I","530
001","32","3.031","12.5","28.1","34.4","9.4","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"Prof Practice in Food Sci","600
001","19","3.500","26.3","47.4","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phase Transitions in Foods","640
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","10","3.289","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Advanced Food Toxicology","704
001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloid Chemistry of Foods","718
001","13","3.375","15.4","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Practicum-Food Sci Teaching","799
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar Advanced","900
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 21 of 373"
