"","699
011","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","699
045","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Project","Course Total","6","3.958","83.3","16.7",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Research or Thesis","990
045","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"DANCE
741","Dept. Total","705","3.704","55.5","17.6","9.5","1.0","0.4","",".","0.6","15.0","",".",".","",".","0.1","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","88","3.674","53.4","23.9","11.4","3.4",".","",".",".","6.8","",".",".","",".",".","",".","1.1",".","."
"Sophomore","","158","3.769","67.7","18.4","8.2","0.6","0.6","",".",".","4.4","",".",".","",".",".","",".",".",".","."
"Junior","","140","3.650","47.9","18.6","9.3","0.7","1.4","",".","0.7","20.7","",".",".","",".",".","",".","0.7",".","."
"Senior","","268","3.725","51.5","16.0","10.1","0.7",".","",".","0.4","21.3","",".",".","",".",".","",".",".",".","."
"Undergraduates","","654","3.714","54.9","18.2","9.6","1.1","0.5","",".","0.3","15.1","",".",".","",".",".","",".","0.3",".","."
"Special","","21","3.292","66.7","14.3","9.5",".",".","",".","9.5",".","",".",".","",".",".","",".",".",".","."
"Graduate","","29","3.903","62.1","3.4","6.9",".",".","",".",".","24.1","",".",".","",".","3.4","",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","705","3.704","55.5","17.6","9.5","1.0","0.4","",".","0.6","15.0","",".",".","",".","0.1","",".","0.3",".","."
