"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"474
Elem School Dance Stdt Tchg","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"477
Mid/Sec Schl Dance Stdt Tch","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","6","3.958","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990
Research or Thesis","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"DANCE
741","Dept. Total","","705","3.704","55.5","17.6","9.5","1.0","0.4",".","0.6","15.0",".",".",".","0.1",".","0.3",".","."
