"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","3","3.500","33.3","33.3","33.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","12","3.603","33.3","50.0","16.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","16","3.610","37.5","43.8","18.8",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","17","3.524","35.3","29.4","29.4",".","",".","",".","",".","5.9","",".",".","",".","",".","",".",".",".","."
"Graduate","298","3.785","67.8","18.8","11.1",".","",".","",".","",".","2.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","6","3.875","83.3",".","16.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","6","3.875","83.3",".","16.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
