"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","349
004","18","2.917","27.8",".","16.7","38.9","16.7",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","49","2.980","22.4","8.2","26.5","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","20","3.605","45.0","35.0","5.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","361
001","26","2.192","7.7","3.8","23.1","11.5","34.6","7.7","11.5",".",".",".",".",".",".",".",".","."
"","002
361","28","2.500","17.9","14.3","10.7","14.3","21.4","17.9","3.6",".",".",".",".",".",".",".",".","."
"","361
003","27","2.648","18.5","3.7","18.5","14.8","40.7","3.7",".",".",".",".",".",".",".",".",".","."
"","004
361","24","2.500","20.8","12.5","8.3","4.2","41.7","4.2","8.3",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","105","2.462","16.2","8.6","15.2","11.4","34.3","8.6","5.7",".",".",".",".",".",".",".",".","."
"","001
363","23","2.738","8.7","4.3","34.8","26.1","13.0","4.3",".","4.3",".",".",".",".",".",".",".","4.3"
"","363
002","36","3.111","16.7","19.4","44.4","8.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","363
003","31","2.984","25.8",".","32.3","29.0","12.9",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","90","2.977","17.8","8.9","37.8","20.0","12.2","1.1",".","1.1",".",".",".",".",".",".",".","1.1"
"","364
002","38","3.053","23.7","7.9","44.7","2.6","21.1",".",".",".",".",".",".",".",".",".",".","."
"","003
364","42","2.439","11.9","4.8","31.0",".","33.3","14.3","2.4","2.4",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","80","2.734","17.5","6.3","37.5","1.3","27.5","7.5","1.3","1.3",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","86","3.186","29.1","22.1","22.1","15.1","9.3","2.3",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","55","2.727","9.1","9.1","29.1","27.3","23.6","1.8",".",".",".",".",".",".",".",".",".","."
"Intro to Polymer Processing","417
001","12","3.450","41.7","8.3","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Engr Design with Polymers","418
001","10","3.050","10.0","60.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Energy Conversn Technolgies","421
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","10","3.400","40.0","10.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Weld Proc&Matrl Selectn","437
001","42","3.464","31.0","31.0","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamic Problems in Design","440
001","14","3.846","71.4","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","446
001","13","3.423","53.8","7.7","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","446
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
003","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"Automatic Controls","Course Total","20","3.579","60.0","10.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0"
"Kinemtcs&Dynmcs-Machine Sys","001
451","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","33","3.530","48.5","18.2","24.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","491
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
020","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
050","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","28","3.801","78.6","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","492
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","492
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","492
050","6","3.875","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","13","3.800","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
