"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","22","3.429","54.5","13.6","13.6","4.5","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","","211","3.795","77.7","11.8","6.6","1.4","0.9",".","0.9",".",".",".",".",".",".",".",".","0.5"
"","400
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
014","","10","3.898","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
018","","9","3.825","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
027","","7","3.788","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
037","","12","3.955","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
039","","8","3.949","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
045","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
055","","7","3.839","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","85","3.884","80.0","18.8",".",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","401
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
001","","23","3.587","26.1","65.2","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","","15","3.467","46.7","13.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
440","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
005","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","","94","3.729","58.5","30.9","8.5","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Skills Devel","458
001","","80","3.594","55.0","18.8","22.5","2.5",".",".","1.3",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Field of Social Work","605
001","","60","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","116","3.819","77.6","14.7","6.0","0.9",".",".","0.9",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","642
001","","21","3.885","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","23","3.468","65.2","8.7","17.4",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","644
002","","26","3.678","53.8","34.6","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","3.8"
"Soc Welfare-Devel Disabilts","Course Total","","49","3.570","59.2","22.4","10.2",".","4.1",".","2.0",".",".",".",".",".",".",".",".","2.0"
"Topics-Contemp Soc Welfare","664
001","","21","3.550","52.4","28.6","4.8",".","4.8","4.8",".",".",".",".",".",".",".",".",".","4.8"
"Topics-Contemp Soc Welfare","665
001","","15","3.133","46.7","6.7","26.7","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"Topics-Family Violence","670
001","","53","3.481","32.1","45.3","15.1","3.8",".",".","1.9",".",".",".",".",".",".",".",".","1.9"
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Human Behavior & Environmnt","711
001","","56","3.411","44.6","19.6","19.6","5.4","10.7",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
712","","23","3.761","60.9","34.8",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","","39","3.756","56.4","41.0",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
