"Summary by College/School","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"L&S","Grades","GPA","","","","","","","","","","","","","","","","",""
"","1","",".",".",".",".",".",".",".",".",".",".",".",".","",".","100.0",".","."
"Freshmen","20323","2.927","21.7","17.3","26.8","10.4","14.9","4.5","2.3","0.0",".","1.8","0.1",".","",".","0.2",".","0.0"
"Sophomore","20379","3.009","24.1","19.4","27.1","10.5","12.7","3.3","1.6","0.1",".","1.0","0.0",".","",".","0.2","0.0","0.0"
"Junior","17368","3.079","27.6","20.3","25.2","10.6","10.5","2.6","1.9","0.4","0.0","0.7","0.0","0.0","",".","0.2","0.0","0.0"
"Senior","17045","3.175","31.5","21.1","23.0","9.2","8.9","2.3","1.2","1.6","0.0","0.6","0.0","0.1","",".","0.3","0.0","0.1"
"Undergraduates","75115","3.037","25.9","19.4","25.7","10.2","11.9","3.2","1.8","0.5","0.0","1.0","0.0","0.0","",".","0.2","0.0","0.1"
"Special","1330","3.410","39.6","15.3","13.5","3.9","3.8","0.8","1.7","10.8","0.1","7.5","0.2",".","",".","0.5","2.0","0.5"
"Graduate","10906","3.763","58.2","16.1","7.1","1.1","0.8","0.1","0.1","11.4","0.1","2.4","0.0","1.6","",".","0.1","0.2","0.6"
"Prof Yr 1","19","3.691","52.6","15.8","5.3",".","5.3",".",".","15.8",".",".",".",".","",".",".",".","5.3"
"Prof Yr 2","34","3.571","52.9","17.6","11.8","5.9",".","2.9",".","8.8",".",".",".",".","",".",".",".","."
"Prof Yr 3","32","3.701","46.9","28.1","9.4",".",".",".",".","12.5",".","3.1",".",".","",".",".",".","."
"Prof Yr 4","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","86","3.651","51.2","20.9","9.3","2.3","1.2","1.2",".","11.6",".","1.2",".",".","",".",".",".","1.2"
