"Reading and Research","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grad Studies-Medical Hist","901
001","","6","3.800","50.0","33.3",".",".",".",".","",".","16.7",".","",".",".","",".","",".","",".",".","."
"Bioethics and the Law","905
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","999
003","","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MED HIST
452","Dept. Total","","65","3.338","24.6","36.9","21.5","3.1","4.6","",".","1.5","6.2","",".",".","",".","",".","",".","1.5",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.417","33.3","16.7","50.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","4","3.250",".","50.0","50.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","8","3.429","37.5","25.0","12.5",".","12.5","",".",".",".","",".",".","",".","",".","",".","12.5",".","."
"Senior","","","25","3.171","20.0","40.0","24.0","4.0","8.0","",".","4.0",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","43","3.256","23.3","34.9","27.9","2.3","7.0","",".","2.3",".","",".",".","",".","",".","",".","2.3",".","."
"Special","","","6","3.263",".","66.7","16.7","16.7",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","15","3.710","40.0","26.7","6.7",".",".","",".",".","26.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","65","3.338","24.6","36.9","21.5","3.1","4.6","",".","1.5","6.2","",".",".","",".","",".","",".","1.5",".","."
