"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"230
Soil: Ecosystem & Resource","001","","51","3.110","17.6","25.5","31.4","15.7","3.9","3.9",".",".",".",".",".",".",".","2.0",".","."
"299
Independent Study","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
General Soil Science","001","","51","2.892","11.8","21.6","27.5","19.6","17.6",".","2.0",".",".",".",".",".",".",".",".","."
"305
Field Study of Soil","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","17","3.353","23.5","41.2","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","21","3.381","28.6","33.3","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"325
Soil Morphol,Class&Mapping","001","","33","3.726","66.7","9.1","15.2",".","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"332
Nutrient Managmnt:Turfgrass","001","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"333
Nutrnt Mgmnt:Hortcltr Crops","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"334
Nutrnt Mgmt:Agronomic Crops","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"336
Nutrnt Mgmt: Nursery Trees","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","12","3.591","50.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","8.3","."
"399
Coord Intrnshp/Cooprtv Educ","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"425
Environmental Microbiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","6","3.300","16.7","33.3","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"622
Soil Physics","001","","11","3.700","54.5","18.2","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"626
Mineral Nutrition of Plants","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"628
Proseminar","001","","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","","23","3.786","17.4","13.0",".",".",".",".",".","69.6",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","3.956","62.1","6.9",".",".",".",".",".","27.6",".",".",".","3.4",".",".",".","."
