"","990
047","","7","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".",".","",".",".","."
"","990
050","","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
054","","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","","23","3.986","91.3",".","4.3",".","",".","",".","",".",".","",".",".","",".","4.3","",".",".",".","."
"MED PHYS
621","Dept. Total","","97","3.658","58.8","17.5","15.5","4.1","",".","",".","",".","1.0","",".",".","",".","1.0","",".",".","2.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","2.500",".",".",".","100.0","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","1","2.500",".",".",".","100.0","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","95","3.673","60.0","16.8","15.8","3.2","",".","",".","",".","1.1","",".",".","",".","1.1","",".",".","2.1","."
"","Dept. Total","","97","3.658","58.8","17.5","15.5","4.1","",".","",".","",".","1.0","",".",".","",".","1.0","",".",".","2.1","."
