"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"991
Research-Plant Anat/Morphol","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","6","4.000","50.0",".",".",".",".",".",".","16.7",".",".",".","33.3",".",".",".","."
"Research-Plant Systematics","Course Total","","8","4.000","62.5",".",".",".",".",".",".","12.5",".",".",".","25.0",".",".",".","."
"995","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"996","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","","9","4.000","66.7",".",".",".",".",".",".","11.1",".",".",".","22.2",".",".",".","."
"999
Independent Work","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"BOTANY
208","Dept. Total","","861","2.952","27.3","10.9","30.4","7.2","14.4","4.4","1.9","2.4",".","0.2",".","0.5",".","0.1","0.1","0.1"
