"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","101
001","25","2.920","32.0","8.0","16.0","8.0","32.0","4.0",".",".",".",".",".",".",".",".",".","."
"","101
002","25","2.460","16.0","8.0","24.0","12.0","24.0","4.0","12.0",".",".",".",".",".",".",".",".","."
"","005
101","26","2.720","26.9","11.5","19.2","3.8","23.1",".","11.5",".",".",".",".",".",".","3.8",".","."
"","006
101","21","2.714","28.6","19.0","4.8","9.5","19.0","14.3","4.8",".",".",".",".",".",".",".",".","."
"","101
007","19","3.528","47.4","10.5","31.6","5.3",".",".",".",".",".",".",".",".",".","5.3",".","."
"1st Semester Portuguese","Course Total","116","2.833","29.3","11.2","19.0","7.8","20.7","4.3","6.0",".",".",".",".",".",".","1.7",".","."
"","201
001","25","3.240","36.0","4.0","48.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","201
002","26","2.904","38.5","3.8","15.4","7.7","26.9","3.8","3.8",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","51","3.069","37.3","3.9","31.4","5.9","15.7","3.9","2.0",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn&Compositn","225
001","8","3.500","12.5","62.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","24","3.435","37.5","20.8","29.2","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Port Lit since 1825","467
001","6","3.333","50.0","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Modern Brazilian Novel","469
001","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Portuguese Literature","771
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
